Range, Altitude
   0.000000,    0.000000
   0.000010,    0.000000
   0.000108,    0.000000
   0.000217,    0.000000
   0.000325,    0.000000
   0.000434,    0.000000
   0.000543,    0.000000
   0.000652,    0.000000
   0.000761,    0.000000
   0.000869,    0.000000
   0.000978,    0.000000
   0.001087,    0.000000
   0.001353,    0.000000
   0.001638,    0.000000
   0.001923,    0.000000
   0.002209,    0.000000
   0.002494,    0.000000
   0.002779,    0.000000
   0.003064,    0.000000
   0.003350,    0.000000
   0.003635,    0.000000
   0.003920,    0.000000
   0.004361,    0.000000
   0.004820,    0.000000
   0.005280,    0.000000
   0.005739,    0.000000
   0.006199,    0.000000
   0.006659,    0.000000
   0.007118,    0.000000
   0.007578,    0.000000
   0.008037,    0.000000
   0.008497,    0.000000
   0.009110,    0.000000
   0.009741,    0.000000
   0.010373,    0.000000
   0.011005,    0.000000
   0.011636,    0.000000
   0.012268,    0.000000
   0.012900,    0.000000
   0.013531,    0.000000
   0.014163,    0.000000
   0.014795,    0.000000
   0.015577,    0.000000
   0.016379,    0.000000
   0.017180,    0.000000
   0.017981,    0.000000
   0.018783,    0.000000
   0.019584,    0.000000
   0.020386,    0.000000
   0.021187,    0.000000
   0.021989,    0.000000
   0.022790,    0.000000
   0.023740,    0.000000
   0.024709,    0.000000
   0.025678,    0.000000
   0.026647,    0.000000
   0.027615,    0.000000
   0.028584,    0.000000
   0.029553,    0.000000
   0.030522,    0.000000
   0.031490,    0.000000
   0.032459,    0.000000
   0.033574,    0.000000
   0.034707,    0.000000
   0.035840,    0.000000
   0.036973,    0.000000
   0.038106,    0.000000
   0.039239,    0.000000
   0.040372,    0.000000
   0.041505,    0.000000
   0.042638,    0.000000
   0.043772,    0.000000
   0.045048,    0.000000
   0.046342,    0.000000
   0.047636,    0.000000
   0.048930,    0.000000
   0.050224,    0.000000
   0.051518,    0.000000
   0.052812,    0.000000
   0.054106,    0.000000
   0.055400,    0.000000
   0.056694,    0.000000
   0.058129,    0.000000
   0.059580,    0.000000
   0.061032,    0.000000
   0.062484,    0.000000
   0.063936,    0.000000
   0.065387,    0.000000
   0.066839,    0.000000
   0.068291,    0.000000
   0.069743,    0.000000
   0.071194,    0.000000
   0.072783,    0.000000
   0.074389,    0.000000
   0.075996,    0.000000
   0.077602,    0.000000
   0.079208,    0.000000
   0.080814,    0.000000
   0.082420,    0.000000
   0.084026,    0.000000
   0.085632,    0.000000
   0.087238,    0.000000
   0.088979,    0.000000
   0.090736,    0.000000
   0.092493,    0.000000
   0.094250,    0.000000
   0.096007,    0.000000
   0.097764,    0.000000
   0.099522,    0.000000
   0.101279,    0.000000
   0.103036,    0.000000
   0.104793,    0.000000
   0.106681,    0.000000
   0.108586,    0.000000
   0.110491,    0.000000
   0.112396,    0.000000
   0.114300,    0.000000
   0.116205,    0.000000
   0.118110,    0.000000
   0.120015,    0.000000
   0.121919,    0.000000
   0.123824,    0.000000
   0.125856,    0.000000
   0.127904,    0.000000
   0.129953,    0.000000
   0.132001,    0.000000
   0.134049,    0.000000
   0.136097,    0.000000
   0.138145,    0.000000
   0.140193,    0.000000
   0.142242,    0.000000
   0.144290,    0.000000
   0.146462,    0.000000
   0.148649,    0.000000
   0.150836,    0.000000
   0.153024,    0.000000
   0.155211,    0.000000
   0.157398,    0.000000
   0.159586,    0.000000
   0.161773,    0.000000
   0.163960,    0.000000
   0.166148,    0.000000
   0.168455,    0.000000
   0.170778,    0.000000
   0.173100,    0.000000
   0.175422,    0.000000
   0.177745,    0.000000
   0.180067,    0.000000
   0.182389,    0.000000
   0.184712,    0.000000
   0.187034,    0.000000
   0.189356,    0.000000
   0.191795,    0.000000
   0.194248,    0.000000
   0.196701,    0.000000
   0.199154,    0.000000
   0.201608,    0.000000
   0.204061,    0.000000
   0.206514,    0.000000
   0.208967,    0.000000
   0.211420,    0.000000
   0.213874,    0.000000
   0.216440,    0.000000
   0.219020,    0.000000
   0.221600,    0.000000
   0.224180,    0.000000
   0.226760,    0.000000
   0.229340,    0.000000
   0.231920,    0.000000
   0.234500,    0.000000
   0.237080,    0.000000
   0.239660,    0.000000
   0.242349,    0.000000
   0.245052,    0.000000
   0.247755,    0.000000
   0.250457,    0.000000
   0.253160,    0.000000
   0.255863,    0.000000
   0.258566,    0.000000
   0.261269,    0.000000
   0.263972,    0.000000
   0.266675,    0.000000
   0.269464,    0.000000
   0.272264,    0.000000
   0.275064,    0.000000
   0.277865,    0.000000
   0.280665,    0.000000
   0.283465,    0.000000
   0.284646,    0.000000
