Mach, Specific Range
   0.328547,    0.239886
   0.331151,    0.241736
   0.333754,    0.243440
   0.336357,    0.244997
   0.338961,    0.246427
   0.341564,    0.247739
   0.344167,    0.248922
   0.346771,    0.249942
   0.349374,    0.250841
   0.351977,    0.251648
   0.354580,    0.252304
   0.357184,    0.252852
   0.359787,    0.253332
   0.362390,    0.253640
   0.364994,    0.253857
   0.367597,    0.254000
   0.370200,    0.253999
   0.372804,    0.253971
   0.375407,    0.253775
   0.378010,    0.253525
   0.380614,    0.253149
   0.383217,    0.252734
   0.385820,    0.252207
   0.388424,    0.251646
   0.391027,    0.250930
   0.393630,    0.250204
   0.396234,    0.249340
   0.398837,    0.248487
   0.401440,    0.247507
   0.404044,    0.246487
   0.406647,    0.245391
   0.409250,    0.244219
   0.411854,    0.243058
   0.414457,    0.241772
   0.417060,    0.240472
   0.419664,    0.239133
   0.422267,    0.237688
   0.424870,    0.236256
   0.427474,    0.234793
   0.430077,    0.233247
   0.432680,    0.231692
   0.435284,    0.230119
   0.437887,    0.228459
   0.440490,    0.226813
   0.443094,    0.225181
   0.445697,    0.223440
   0.448300,    0.221701
   0.450904,    0.219977
   0.453507,    0.218226
   0.456110,    0.216417
   0.458714,    0.214624
   0.461317,    0.212844
   0.463920,    0.211024
   0.466524,    0.209170
   0.469127,    0.207335
   0.471730,    0.205519
   0.474334,    0.203685
   0.476937,    0.201807
   0.479540,    0.199948
   0.482144,    0.198110
   0.484747,    0.196290
   0.487350,    0.194419
   0.489953,    0.192555
   0.492557,    0.190712
   0.495160,    0.188890
   0.497763,    0.187087
   0.500367,    0.185237
   0.502970,    0.183404
   0.505573,    0.181592
   0.508177,    0.179801
   0.510780,    0.178030
   0.513383,    0.176250
   0.515987,    0.174453
   0.518590,    0.172678
   0.521193,    0.170923
   0.523797,    0.169190
   0.526400,    0.167477
   0.529003,    0.165762
   0.531607,    0.164026
   0.534210,    0.162311
   0.536813,    0.160618
   0.539417,    0.158946
   0.542020,    0.157292
   0.544623,    0.155653
   0.547227,    0.154005
   0.549830,    0.152354
   0.552433,    0.150724
   0.555037,    0.149116
   0.557640,    0.147516
   0.560243,    0.145937
   0.562847,    0.144378
   0.565450,    0.142840
   0.568053,    0.141279
   0.570657,    0.139726
   0.573260,    0.138188
   0.575863,    0.136671
   0.578467,    0.135174
   0.581070,    0.133698
   0.583673,    0.132235
   0.586277,    0.130779
