alpha body, CLh_e
 -10.000000,   -0.495178
  -9.000000,   -0.450440
  -8.000000,   -0.406727
  -7.000000,   -0.363992
  -6.000000,   -0.322316
  -5.000000,   -0.281696
  -4.000000,   -0.242111
  -3.000000,   -0.203520
  -2.000000,   -0.164122
  -1.000000,   -0.127295
   0.000000,   -0.091543
   1.000000,   -0.056866
   2.000000,   -0.023305
   3.000000,    0.009167
   4.000000,    0.040593
   5.000000,    0.070954
   6.000000,    0.100210
   7.000000,    0.128376
   8.000000,    0.155436
   9.000000,    0.181398
  10.000000,    0.206261
  11.000000,    0.230055
  12.000000,    0.252636
  13.000000,    0.273426
  14.000000,    0.292043
  15.000000,    0.308368
  16.000000,    0.322530
  17.000000,    0.334844
  18.000000,    0.345778
