alpha body, CLh_e
 -10.000000,   -0.495039
  -9.000000,   -0.450261
  -8.000000,   -0.406508
  -7.000000,   -0.363733
  -6.000000,   -0.322019
  -5.000000,   -0.281359
  -4.000000,   -0.241735
  -3.000000,   -0.203104
  -2.000000,   -0.163667
  -1.000000,   -0.126802
   0.000000,   -0.091011
   1.000000,   -0.056296
   2.000000,   -0.022697
   3.000000,    0.009813
   4.000000,    0.041277
   5.000000,    0.071674
   6.000000,    0.100967
   7.000000,    0.129170
   8.000000,    0.156266
   9.000000,    0.182265
  10.000000,    0.207163
  11.000000,    0.230993
  12.000000,    0.253608
  13.000000,    0.274430
  14.000000,    0.293074
  15.000000,    0.309421
  16.000000,    0.323599
  17.000000,    0.335923
  18.000000,    0.346860
