alpha body, CLh_e
 -10.000000,   -0.494202
  -9.090909,   -0.453190
  -8.181818,   -0.412974
  -7.272727,   -0.373607
  -6.363636,   -0.335126
  -5.454545,   -0.297511
  -4.545455,   -0.260685
  -3.636364,   -0.224715
  -2.727273,   -0.189640
  -1.818182,   -0.153524
  -0.909091,   -0.119887
  -0.000000,   -0.087117
   0.909091,   -0.055213
   1.818182,   -0.024211
   2.727273,    0.005882
   3.636364,    0.035055
   4.545455,    0.063336
   5.454545,    0.090754
   6.363636,    0.117272
   7.272727,    0.142861
   8.181818,    0.167537
   9.090909,    0.191313
  10.000000,    0.214223
  10.909091,    0.236247
  11.818182,    0.257266
  12.727273,    0.276829
  13.636364,    0.294630
  14.545455,    0.310549
  15.454545,    0.324599
  16.363636,    0.336900
  17.272727,    0.347738
