alpha body, CLh_e
 -10.000000,   -0.449623
  -9.000000,   -0.391928
  -8.000000,   -0.335281
  -7.000000,   -0.279645
  -6.000000,   -0.225107
  -5.000000,   -0.171667
  -4.000000,   -0.119313
  -3.000000,   -0.068007
  -2.000000,   -0.015911
  -1.000000,    0.033512
   0.000000,    0.081790
   1.000000,    0.128916
   2.000000,    0.174843
   3.000000,    0.219596
   4.000000,    0.263216
   5.000000,    0.305676
   6.000000,    0.346934
   7.000000,    0.386999
   8.000000,    0.425852
   9.000000,    0.463496
  10.000000,    0.499927
  11.000000,    0.535174
  12.000000,    0.568939
  13.000000,    0.600050
  14.000000,    0.627587
  15.000000,    0.651060
  16.000000,    0.670387
  17.000000,    0.685834
  18.000000,    0.697977
  19.000000,    0.707124
  20.000000,    0.711125
