alpha body, CLh_e
 -10.000000,   -0.447842
  -9.090909,   -0.394840
  -8.181818,   -0.342656
  -7.272727,   -0.291345
  -6.363636,   -0.240951
  -5.454545,   -0.191458
  -4.545455,   -0.142793
  -3.636364,   -0.095028
  -2.727273,   -0.048206
  -1.818182,   -0.000350
  -0.909091,    0.044932
  -0.000000,    0.089289
   0.909091,    0.132714
   1.818182,    0.175171
   2.727273,    0.216647
   3.636364,    0.257128
   4.545455,    0.296639
   5.454545,    0.335208
   6.363636,    0.372793
   7.272727,    0.409360
   8.181818,    0.444924
   9.090909,    0.479496
  10.000000,    0.513107
  10.909091,    0.545737
  11.818182,    0.577170
  12.727273,    0.606515
  13.636364,    0.633025
  14.545455,    0.656263
  15.454545,    0.676029
  16.363636,    0.692340
  17.272727,    0.705494
  18.181818,    0.715990
  19.090909,    0.723778
  20.000000,    0.727137
