alpha body, CLh_e
 -10.000000,   -0.449241
  -9.000000,   -0.391437
  -8.000000,   -0.334682
  -7.000000,   -0.278938
  -6.000000,   -0.224291
  -5.000000,   -0.170744
  -4.000000,   -0.118283
  -3.000000,   -0.066870
  -2.000000,   -0.014668
  -1.000000,    0.034861
   0.000000,    0.083244
   1.000000,    0.130475
   2.000000,    0.176506
   3.000000,    0.221363
   4.000000,    0.265084
   5.000000,    0.307647
   6.000000,    0.349005
   7.000000,    0.389171
   8.000000,    0.428122
   9.000000,    0.465865
  10.000000,    0.502393
  11.000000,    0.537736
  12.000000,    0.571595
  13.000000,    0.602793
  14.000000,    0.630405
  15.000000,    0.653937
  16.000000,    0.673308
  17.000000,    0.688782
  18.000000,    0.700935
  19.000000,    0.710078
  20.000000,    0.714060
