eta, M
   0.000000, 6764.273399
   0.020408, 6403.262725
   0.040816, 6085.220302
   0.061224, 5766.380672
   0.081633, 5445.903044
   0.102041, 5123.528584
   0.122449, 4799.287423
   0.142857, 4473.374761
   0.163265, 4146.086379
   0.183673, 3817.781450
   0.204082, 3488.859811
   0.224490, 3159.747607
   0.244898, 2830.888116
   0.265306, 2502.735894
   0.285714, 2175.753175
   0.306122, 1850.407817
   0.326531, 1527.172381
   0.346939, 1206.524058
   0.367347,  888.945270
   0.387755,  574.924847
   0.408163,  264.959710
   0.428571,  -40.442926
   0.448980, -340.762844
   0.469388, -635.463530
   0.489796, -923.988240
   0.510204, -1205.750155
   0.530612, -1480.131308
   0.551020, -1746.483447
   0.571429, -2004.108661
   0.591837, -2252.252852
   0.612245, -2490.093426
   0.632653, -2716.724120
   0.653061, -2931.136145
   0.673469, -3132.194551
   0.693878, -3318.608298
   0.714286, -3488.891976
   0.734694, -3641.316235
   0.755102, -3773.842746
   0.775510, -3884.037487
   0.795918, -3968.952952
   0.816327, -4024.964302
   0.836735, -4047.534455
   0.857143, -4030.863329
   0.877551, -3967.334409
   0.897959, -3846.573583
   0.918367, -3653.680250
   0.938776, -3365.426992
   0.959184, -2940.365428
   0.979592, -2282.969968
   1.000000,    0.000000
