eta, M
   0.000000, 33821.366994
   0.020408, 32016.313627
   0.040816, 30426.101511
   0.061224, 28831.903361
   0.081633, 27229.515222
   0.102041, 25617.642922
   0.122449, 23996.437117
   0.142857, 22366.873803
   0.163265, 20730.431893
   0.183673, 19088.907252
   0.204082, 17444.299055
   0.224490, 15798.738037
   0.244898, 14154.440578
   0.265306, 12513.679470
   0.285714, 10878.765875
   0.306122, 9252.039085
   0.326531, 7635.861905
   0.346939, 6032.620289
   0.367347, 4444.726352
   0.387755, 2874.624233
   0.408163, 1324.798549
   0.428571, -202.214632
   0.448980, -1703.814218
   0.469388, -3177.317649
   0.489796, -4619.941199
   0.510204, -6028.750777
   0.530612, -7400.656539
   0.551020, -8732.417234
   0.571429, -10020.543304
   0.591837, -11261.264260
   0.612245, -12450.467131
   0.632653, -13583.620600
   0.653061, -14655.680727
   0.673469, -15660.972755
   0.693878, -16593.041491
   0.714286, -17444.459880
   0.734694, -18206.581176
   0.755102, -18869.213729
   0.775510, -19420.187436
   0.795918, -19844.764760
   0.816327, -20124.821510
   0.836735, -20237.672276
   0.857143, -20154.316647
   0.877551, -19836.672047
   0.897959, -19232.867917
   0.918367, -18268.401252
   0.938776, -16827.134960
   0.959184, -14701.827139
   0.979592, -11414.849842
   1.000000,    0.000000
