Time, Aircraft mass
   0.216667, 20804.541008
   0.218333, 20804.507525
   0.220000, 20804.474007
   0.221667, 20804.440483
   0.223333, 20804.406960
   0.225000, 20804.373437
   0.226667, 20804.339914
   0.228333, 20804.306391
   0.230000, 20804.272867
   0.231667, 20804.239344
   0.233333, 20804.205821
   0.235000, 20804.172298
   0.236667, 20804.138766
   0.238333, 20804.105234
   0.240000, 20804.071701
   0.241667, 20804.038168
   0.243333, 20804.004636
   0.245000, 20803.971103
   0.246667, 20803.937570
   0.248333, 20803.904038
   0.250000, 20803.870505
   0.251667, 20803.836972
   0.253333, 20803.803457
   0.255000, 20803.769943
   0.256667, 20803.736429
   0.258333, 20803.702916
   0.260000, 20803.669402
   0.261667, 20803.635888
   0.263333, 20803.602375
   0.265000, 20803.568861
   0.266667, 20803.535347
   0.268333, 20803.501834
   0.270000, 20803.468360
   0.271667, 20803.434891
   0.273333, 20803.401422
   0.275000, 20803.367953
   0.276667, 20803.334484
   0.278333, 20803.301015
   0.280000, 20803.267547
   0.281667, 20803.234078
   0.283333, 20803.200609
   0.285000, 20803.167140
   0.286667, 20803.133731
   0.288333, 20803.100330
   0.290000, 20803.066928
   0.291667, 20803.033527
   0.293333, 20803.000125
   0.295000, 20802.966724
   0.296667, 20802.933322
   0.298333, 20802.899921
   0.300000, 20802.866519
   0.301667, 20802.833118
   0.303333, 20802.799722
   0.305000, 20802.766327
   0.306667, 20802.732932
   0.308333, 20802.699538
   0.310000, 20802.666143
   0.311667, 20802.632748
   0.312642, 20802.613206
   0.314309, 20802.579775
   0.315975, 20802.546344
   0.317642, 20802.512912
   0.319309, 20802.479464
   0.320975, 20802.445997
   0.322642, 20802.412530
   0.324309, 20802.379063
   0.325975, 20802.345596
   0.327642, 20802.312129
   0.329309, 20802.278661
   0.330975, 20802.245194
   0.332642, 20802.211727
   0.334309, 20802.178260
   0.335975, 20802.144778
   0.337642, 20802.111279
   0.339309, 20802.077781
   0.340975, 20802.044282
   0.342642, 20802.010783
   0.344309, 20801.977284
   0.345975, 20801.943786
   0.347642, 20801.910287
   0.349309, 20801.876788
   0.350975, 20801.843290
   0.352642, 20801.809787
   0.354309, 20801.776281
   0.355975, 20801.742775
   0.357642, 20801.709268
   0.359309, 20801.675762
   0.360975, 20801.642256
   0.362642, 20801.608749
   0.364309, 20801.575243
   0.365975, 20801.541736
   0.367642, 20801.508230
   0.368518, 20801.490612
   0.370185, 20801.457115
   0.371852, 20801.423618
   0.373518, 20801.390121
   0.375185, 20801.356624
   0.376852, 20801.323128
   0.378518, 20801.289631
   0.380185, 20801.256134
   0.381852, 20801.222637
   0.383518, 20801.189141
   0.385185, 20801.155644
   0.386852, 20801.122157
   0.388518, 20801.088670
   0.390185, 20801.055183
   0.391852, 20801.021696
   0.393518, 20800.988209
   0.395185, 20800.954727
   0.396852, 20800.921246
   0.398518, 20800.887765
   0.400185, 20800.854283
   0.401852, 20800.820802
   0.403518, 20800.787325
   0.405185, 20800.753849
   0.406852, 20800.720372
   0.408518, 20800.686896
   0.410185, 20800.653419
   0.410185, 20800.653419
   1.605400, 20780.226523
   2.825139, 20759.688569
