Mach, SFC
   0.238786,    0.284072
   0.240901,    0.285371
   0.243017,    0.286669
   0.245132,    0.287968
   0.247248,    0.289266
   0.249363,    0.290565
   0.251479,    0.291880
   0.253594,    0.293204
   0.255710,    0.294527
   0.257825,    0.295850
   0.259941,    0.297173
   0.262057,    0.298497
   0.264172,    0.299820
   0.266288,    0.301143
   0.268403,    0.302466
   0.270519,    0.303790
   0.272634,    0.305113
   0.274750,    0.306436
   0.276865,    0.307759
   0.278981,    0.309083
   0.281096,    0.310406
   0.283212,    0.311729
   0.285328,    0.313052
   0.287443,    0.314376
   0.289559,    0.315699
   0.291674,    0.317022
   0.293790,    0.318345
   0.295905,    0.319669
   0.298021,    0.320992
   0.300136,    0.322338
   0.302252,    0.324018
   0.304368,    0.325697
   0.306483,    0.327376
   0.308599,    0.329056
   0.310714,    0.330735
   0.312830,    0.332414
   0.314945,    0.334094
   0.317061,    0.335773
   0.319176,    0.337452
   0.321292,    0.339132
   0.323407,    0.340811
   0.325523,    0.342490
   0.327639,    0.344170
   0.329754,    0.345849
   0.331870,    0.347528
   0.333985,    0.349208
   0.336101,    0.350887
   0.338216,    0.352566
   0.340332,    0.354246
   0.342447,    0.355925
   0.344563,    0.357604
   0.346678,    0.359284
   0.348794,    0.360963
   0.350910,    0.362659
   0.353025,    0.364376
   0.355141,    0.366094
   0.357256,    0.367811
   0.359372,    0.369529
   0.361487,    0.371246
   0.363603,    0.372964
   0.365718,    0.374681
   0.367834,    0.376399
   0.369949,    0.378116
   0.372065,    0.379834
   0.374181,    0.381551
   0.376296,    0.383269
   0.378412,    0.384986
   0.380527,    0.386703
   0.382643,    0.388421
   0.384758,    0.390138
   0.386874,    0.391856
   0.388989,    0.393573
   0.391105,    0.395291
   0.393221,    0.397008
   0.395336,    0.398726
   0.397452,    0.400443
   0.399567,    0.402161
   0.401683,    0.403933
   0.403798,    0.405718
   0.405914,    0.407504
   0.408029,    0.409290
   0.410145,    0.411076
   0.412260,    0.412862
   0.414376,    0.414647
   0.416492,    0.416433
   0.418607,    0.418219
   0.420723,    0.420005
   0.422838,    0.421790
   0.424954,    0.423576
   0.427069,    0.425362
   0.429185,    0.427148
   0.431300,    0.428934
   0.433416,    0.430719
   0.435531,    0.432505
   0.437647,    0.434291
   0.439763,    0.436077
   0.441878,    0.437862
   0.443994,    0.439648
   0.446109,    0.441434
   0.448225,    0.443220
