Mach, SFC
   0.245329,    0.288089
   0.247379,    0.289346
   0.249428,    0.290604
   0.251477,    0.291880
   0.253527,    0.293161
   0.255576,    0.294443
   0.257626,    0.295725
   0.259675,    0.297007
   0.261725,    0.298289
   0.263774,    0.299571
   0.265824,    0.300853
   0.267873,    0.302135
   0.269923,    0.303417
   0.271972,    0.304699
   0.274021,    0.305981
   0.276071,    0.307262
   0.278120,    0.308544
   0.280170,    0.309826
   0.282219,    0.311108
   0.284269,    0.312390
   0.286318,    0.313672
   0.288368,    0.314954
   0.290417,    0.316236
   0.292466,    0.317518
   0.294516,    0.318800
   0.296565,    0.320082
   0.298615,    0.321364
   0.300664,    0.322757
   0.302714,    0.324384
   0.304763,    0.326011
   0.306813,    0.327638
   0.308862,    0.329265
   0.310912,    0.330892
   0.312961,    0.332518
   0.315010,    0.334145
   0.317060,    0.335772
   0.319109,    0.337399
   0.321159,    0.339026
   0.323208,    0.340653
   0.325258,    0.342280
   0.327307,    0.343906
   0.329357,    0.345533
   0.331406,    0.347160
   0.333455,    0.348787
   0.335505,    0.350414
   0.337554,    0.352041
   0.339604,    0.353668
   0.341653,    0.355295
   0.343703,    0.356921
   0.345752,    0.358548
   0.347802,    0.360175
   0.349851,    0.361802
   0.351901,    0.363463
   0.353950,    0.365127
   0.355999,    0.366791
   0.358049,    0.368455
   0.360098,    0.370118
   0.362148,    0.371782
   0.364197,    0.373446
   0.366247,    0.375110
   0.368296,    0.376774
   0.370346,    0.378438
   0.372395,    0.380101
   0.374445,    0.381765
   0.376494,    0.383429
   0.378543,    0.385093
   0.380593,    0.386757
   0.382642,    0.388421
   0.384692,    0.390084
   0.386741,    0.391748
   0.388791,    0.393412
   0.390840,    0.395076
   0.392890,    0.396740
   0.394939,    0.398404
   0.396988,    0.400067
   0.399038,    0.401731
   0.401087,    0.403430
   0.403137,    0.405160
   0.405186,    0.406890
   0.407236,    0.408620
   0.409285,    0.410350
   0.411335,    0.412080
   0.413384,    0.413810
   0.415434,    0.415540
   0.417483,    0.417270
   0.419532,    0.419000
   0.421582,    0.420730
   0.423631,    0.422460
   0.425681,    0.424190
   0.427730,    0.425920
   0.429780,    0.427650
   0.431829,    0.429380
   0.433879,    0.431110
   0.435928,    0.432840
   0.437977,    0.434570
   0.440027,    0.436300
   0.442076,    0.438030
   0.444126,    0.439760
   0.446175,    0.441490
   0.448225,    0.443220
