Mach, SFC
   0.225129,    0.275691
   0.227459,    0.277121
   0.229789,    0.278551
   0.232119,    0.279981
   0.234449,    0.281410
   0.236778,    0.282840
   0.239108,    0.284270
   0.241438,    0.285700
   0.243768,    0.287130
   0.246098,    0.288560
   0.248428,    0.289990
   0.250757,    0.291429
   0.253087,    0.292886
   0.255417,    0.294344
   0.257747,    0.295801
   0.260077,    0.297258
   0.262407,    0.298716
   0.264736,    0.300173
   0.267066,    0.301630
   0.269396,    0.303087
   0.271726,    0.304545
   0.274056,    0.306002
   0.276386,    0.307459
   0.278715,    0.308917
   0.281045,    0.310374
   0.283375,    0.311831
   0.285705,    0.313289
   0.288035,    0.314746
   0.290365,    0.316203
   0.292695,    0.317660
   0.295024,    0.319118
   0.297354,    0.320575
   0.299684,    0.322032
   0.302014,    0.323829
   0.304344,    0.325678
   0.306674,    0.327527
   0.309003,    0.329377
   0.311333,    0.331226
   0.313663,    0.333076
   0.315993,    0.334925
   0.318323,    0.336775
   0.320653,    0.338624
   0.322982,    0.340474
   0.325312,    0.342323
   0.327642,    0.344172
   0.329972,    0.346022
   0.332302,    0.347871
   0.334632,    0.349721
   0.336961,    0.351570
   0.339291,    0.353420
   0.341621,    0.355269
   0.343951,    0.357118
   0.346281,    0.358968
   0.348611,    0.360817
   0.350941,    0.362684
   0.353270,    0.364575
   0.355600,    0.366467
   0.357930,    0.368358
   0.360260,    0.370250
   0.362590,    0.372141
   0.364920,    0.374033
   0.367249,    0.375924
   0.369579,    0.377815
   0.371909,    0.379707
   0.374239,    0.381598
   0.376569,    0.383490
   0.378899,    0.385381
   0.381228,    0.387273
   0.383558,    0.389164
   0.385888,    0.391056
   0.388218,    0.392947
   0.390548,    0.394839
   0.392878,    0.396730
   0.395207,    0.398622
   0.397537,    0.400513
   0.399867,    0.402404
   0.402197,    0.404367
   0.404527,    0.406334
   0.406857,    0.408300
   0.409187,    0.410267
   0.411516,    0.412233
   0.413846,    0.414200
   0.416176,    0.416167
   0.418506,    0.418133
   0.420836,    0.420100
   0.423166,    0.422067
   0.425495,    0.424033
   0.427825,    0.426000
   0.430155,    0.427967
   0.432485,    0.429933
   0.434815,    0.431900
   0.437145,    0.433867
   0.439474,    0.435833
   0.441804,    0.437800
   0.444134,    0.439767
   0.446464,    0.441733
   0.448794,    0.443700
   0.451124,    0.445725
   0.453453,    0.447811
   0.455783,    0.449898
