Mach, SFC
   0.251702,    0.292020
   0.253611,    0.293214
   0.255520,    0.294408
   0.257428,    0.295602
   0.259337,    0.296796
   0.261246,    0.297989
   0.263154,    0.299183
   0.265063,    0.300377
   0.266972,    0.301571
   0.268881,    0.302765
   0.270789,    0.303959
   0.272698,    0.305153
   0.274607,    0.306347
   0.276516,    0.307541
   0.278424,    0.308735
   0.280333,    0.309928
   0.282242,    0.311122
   0.284150,    0.312316
   0.286059,    0.313510
   0.287968,    0.314704
   0.289877,    0.315898
   0.291785,    0.317092
   0.293694,    0.318286
   0.295603,    0.319480
   0.297512,    0.320673
   0.299420,    0.321867
   0.301329,    0.323285
   0.303238,    0.324800
   0.305146,    0.326315
   0.307055,    0.327830
   0.308964,    0.329346
   0.310873,    0.330861
   0.312781,    0.332376
   0.314690,    0.333891
   0.316599,    0.335406
   0.318508,    0.336921
   0.320416,    0.338436
   0.322325,    0.339952
   0.324234,    0.341467
   0.326142,    0.342982
   0.328051,    0.344497
   0.329960,    0.346012
   0.331869,    0.347527
   0.333777,    0.349043
   0.335686,    0.350558
   0.337595,    0.352073
   0.339504,    0.353588
   0.341412,    0.355103
   0.343321,    0.356618
   0.345230,    0.358134
   0.347138,    0.359649
   0.349047,    0.361164
   0.350956,    0.362696
   0.352865,    0.364246
   0.354773,    0.365795
   0.356682,    0.367345
   0.358591,    0.368895
   0.360500,    0.370444
   0.362408,    0.371994
   0.364317,    0.373543
   0.366226,    0.375093
   0.368134,    0.376643
   0.370043,    0.378192
   0.371952,    0.379742
   0.373861,    0.381291
   0.375769,    0.382841
   0.377678,    0.384390
   0.379587,    0.385940
   0.381496,    0.387490
   0.383404,    0.389039
   0.385313,    0.390589
   0.387222,    0.392138
   0.389131,    0.393688
   0.391039,    0.395238
   0.392948,    0.396787
   0.394857,    0.398337
   0.396765,    0.399886
   0.398674,    0.401436
   0.400583,    0.403004
   0.402492,    0.404616
   0.404400,    0.406227
   0.406309,    0.407838
   0.408218,    0.409449
   0.410127,    0.411060
   0.412035,    0.412672
   0.413944,    0.414283
   0.415853,    0.415894
   0.417761,    0.417505
   0.419670,    0.419116
   0.421579,    0.420727
   0.423488,    0.422339
   0.425396,    0.423950
   0.427305,    0.425561
   0.429214,    0.427172
   0.431123,    0.428783
   0.433031,    0.430395
   0.434940,    0.432006
   0.436849,    0.433617
   0.438757,    0.435228
   0.440666,    0.436839
