eta, Total_Load
   0.000000, 22479.163037
   0.020408, 22411.018569
   0.040816, 22439.285373
   0.061224, 22471.192535
   0.081633, 22501.954950
   0.102041, 22528.836904
   0.122449, 22550.088985
   0.142857, 22564.519428
   0.163265, 22571.276976
   0.183673, 22569.726768
   0.204082, 22559.373706
   0.224490, 22539.812425
   0.244898, 22510.693129
   0.265306, 22471.697331
   0.285714, 22422.519941
   0.306122, 22362.855507
   0.326531, 22292.387190
   0.346939, 22210.777492
   0.367347, 22117.660089
   0.387755, 22012.632253
   0.408163, 21895.247512
   0.428571, 21765.008213
   0.448980, 21621.357752
   0.469388, 21463.672208
   0.489796, 21291.251149
   0.510204, 21103.145300
   0.530612, 20898.431304
   0.551020, 20676.253916
   0.571429, 20435.478421
   0.591837, 20174.823178
   0.612245, 19892.838226
   0.632653, 19587.879930
   0.653061, 19258.080658
   0.673469, 18901.312054
   0.693878, 18515.139829
   0.714286, 18096.766951
   0.734694, 17642.960326
   0.755102, 17149.953126
   0.775510, 16613.309893
   0.795918, 16027.733191
   0.816327, 15386.776241
   0.836735, 14682.400494
   0.857143, 13904.268645
   0.877551, 13038.562734
   0.897959, 12065.885329
   0.918367, 10957.203505
   0.938776, 9664.991193
   0.959184, 8099.884492
   0.979592, 6044.866899
   1.000000,    0.000000
