eta, Total_Load
   0.000000, 4495.832607
   0.020408, 4482.203714
   0.040816, 4487.857075
   0.061224, 4494.238507
   0.081633, 4500.390990
   0.102041, 4505.767381
   0.122449, 4510.017797
   0.142857, 4512.903886
   0.163265, 4514.255395
   0.183673, 4513.945354
   0.204082, 4511.874741
   0.224490, 4507.962485
   0.244898, 4502.138626
   0.265306, 4494.339466
   0.285714, 4484.503988
   0.306122, 4472.571101
   0.326531, 4458.477438
   0.346939, 4442.155498
   0.367347, 4423.532018
   0.387755, 4402.526451
   0.408163, 4379.049502
   0.428571, 4353.001643
   0.448980, 4324.271550
   0.469388, 4292.734442
   0.489796, 4258.250230
   0.510204, 4220.629060
   0.530612, 4179.686261
   0.551020, 4135.250783
   0.571429, 4087.095684
   0.591837, 4034.964636
   0.612245, 3978.567645
   0.632653, 3917.575986
   0.653061, 3851.616132
   0.673469, 3780.262411
   0.693878, 3703.027966
   0.714286, 3619.353390
   0.734694, 3528.592065
   0.755102, 3429.990625
   0.775510, 3322.661979
   0.795918, 3205.546638
   0.816327, 3077.355248
   0.836735, 2936.480099
   0.857143, 2780.853729
   0.877551, 2607.712547
   0.897959, 2413.177066
   0.918367, 2191.440701
   0.938776, 1932.998239
   0.959184, 1619.976898
   0.979592, 1208.973380
   1.000000,    0.000000
