Time, Emission NOx
   0.000000,    0.003212
   0.100000,    3.212376
   0.200000,    6.430752
   0.300000,    9.649867
   0.400000,   12.868982
   0.500000,   16.088097
   0.600000,   19.307212
   0.700000,   22.526327
   0.800000,   25.745442
   0.900000,   28.964557
   1.000000,   32.183672
   1.100000,   35.402787
   1.200000,   38.632048
   1.300000,   41.862575
   1.400000,   45.093103
   1.500000,   48.323630
   1.600000,   51.554157
   1.700000,   54.784684
   1.800000,   58.015212
   1.900000,   61.245739
   2.000000,   64.476266
   2.100000,   67.706794
   2.200000,   70.946594
   2.300000,   74.187552
   2.400000,   77.428509
   2.500000,   80.669467
   2.600000,   83.910425
   2.700000,   87.151383
   2.800000,   90.392340
   2.900000,   93.633298
   3.000000,   96.874256
   3.100000,  100.115214
   3.200000,  103.364593
   3.300000,  106.615025
   3.400000,  109.865456
   3.500000,  113.115887
   3.600000,  116.366318
   3.700000,  119.616749
   3.800000,  122.867181
   3.900000,  126.117612
   4.000000,  129.368043
   4.100000,  132.618474
   4.200000,  135.876499
   4.300000,  139.135471
   4.400000,  142.394444
   4.500000,  145.653416
   4.600000,  148.912389
   4.700000,  152.171361
   4.800000,  155.430334
   4.900000,  158.689306
   5.000000,  161.948279
   5.100000,  165.207251
   5.200000,  168.473011
   5.300000,  171.739618
   5.400000,  175.006225
   5.500000,  178.272832
   5.600000,  181.539439
   5.700000,  184.806046
   5.800000,  188.072653
   5.900000,  191.339260
   6.000000,  194.605867
   6.100000,  197.872473
   6.200000,  201.145084
   6.300000,  204.418444
   6.400000,  207.691804
   6.500000,  210.965164
   6.600000,  214.238523
   6.700000,  217.511883
   6.800000,  220.785243
   6.900000,  224.058603
   7.000000,  227.331963
   7.100000,  230.605323
   7.200000,  233.883925
   7.300000,  237.163182
   7.400000,  240.442439
   7.500000,  243.721696
   7.600000,  247.000952
   7.700000,  250.280209
   7.800000,  253.559466
   7.900000,  256.838723
   8.000000,  260.117980
   8.100000,  263.397237
   8.200000,  266.680997
   8.300000,  269.965321
   8.400000,  273.249644
   8.500000,  276.533967
   8.600000,  279.818290
   8.700000,  283.102614
   8.800000,  286.386937
   8.900000,  289.671260
   9.000000,  292.955583
   9.100000,  296.239907
   9.200000,  299.528018
   9.300000,  302.816603
   9.400000,  306.105188
   9.500000,  309.393773
   9.600000,  312.682357
   9.700000,  315.970942
   9.800000,  319.259527
   9.900000,  322.548112
  10.000000,  325.836696
  10.100000,  329.125281
  10.200000,  332.416962
  10.300000,  335.709029
  10.400000,  339.001096
  10.500000,  342.293163
  10.600000,  345.585230
  10.700000,  348.877297
  10.800000,  352.169364
