alpha, CM
  -5.838204,    0.035713
  -5.548031,    0.035697
  -5.259297,    0.035681
  -4.971692,    0.035665
  -4.685300,    0.035649
  -4.399975,    0.035633
  -4.115698,    0.035617
  -3.832452,    0.035601
  -3.550225,    0.035585
  -3.269129,    0.035570
  -2.989007,    0.035554
  -2.709844,    0.035539
  -2.431622,    0.035523
  -2.154324,    0.035508
  -1.878045,    0.035492
  -1.602665,    0.035477
  -1.328153,    0.035462
  -1.054494,    0.035447
  -0.781670,    0.035431
  -0.509750,    0.035416
  -0.238656,    0.035401
   0.031657,    0.035386
   0.301205,    0.035371
   0.570004,    0.035356
   0.838013,    0.035341
   1.150246,    0.035324
   1.598628,    0.035299
   2.063942,    0.035273
   2.541983,    0.035246
   3.041862,    0.035219
