alpha, CM
  -5.838204,    0.077100
  -5.548031,    0.077084
  -5.259297,    0.077068
  -4.971692,    0.077052
  -4.685300,    0.077036
  -4.399975,    0.077020
  -4.115698,    0.077004
  -3.832452,    0.076989
  -3.550225,    0.076973
  -3.269129,    0.076957
  -2.989007,    0.076942
  -2.709844,    0.076926
  -2.431622,    0.076911
  -2.154324,    0.076895
  -1.878045,    0.076880
  -1.602665,    0.076864
  -1.328153,    0.076849
  -1.054494,    0.076834
  -0.781670,    0.076819
  -0.509750,    0.076804
  -0.238656,    0.076789
   0.031657,    0.076774
   0.301205,    0.076759
   0.570004,    0.076744
   0.838013,    0.076729
   1.150246,    0.076711
   1.598628,    0.076686
   2.063942,    0.076660
   2.541983,    0.076634
   3.041862,    0.076606
