alpha, CM
  -5.838204,    0.055849
  -5.548031,    0.055833
  -5.259297,    0.055817
  -4.971692,    0.055801
  -4.685300,    0.055785
  -4.399975,    0.055769
  -4.115698,    0.055754
  -3.832452,    0.055738
  -3.550225,    0.055722
  -3.269129,    0.055706
  -2.989007,    0.055691
  -2.709844,    0.055675
  -2.431622,    0.055660
  -2.154324,    0.055644
  -1.878045,    0.055629
  -1.602665,    0.055614
  -1.328153,    0.055598
  -1.054494,    0.055583
  -0.781670,    0.055568
  -0.509750,    0.055553
  -0.238656,    0.055538
   0.031657,    0.055523
   0.301205,    0.055508
   0.570004,    0.055493
   0.838013,    0.055478
   1.150246,    0.055461
   1.598628,    0.055436
   2.063942,    0.055410
   2.541983,    0.055383
   3.041862,    0.055355
