alpha, CM
  -5.838204,    0.018493
  -5.548031,    0.018476
  -5.259297,    0.018460
  -4.971692,    0.018444
  -4.685300,    0.018428
  -4.399975,    0.018412
  -4.115698,    0.018397
  -3.832452,    0.018381
  -3.550225,    0.018365
  -3.269129,    0.018350
  -2.989007,    0.018334
  -2.709844,    0.018318
  -2.431622,    0.018303
  -2.154324,    0.018287
  -1.878045,    0.018272
  -1.602665,    0.018257
  -1.328153,    0.018241
  -1.054494,    0.018226
  -0.781670,    0.018211
  -0.509750,    0.018196
  -0.238656,    0.018181
   0.031657,    0.018166
   0.301205,    0.018151
   0.570004,    0.018136
   0.838013,    0.018121
   1.150246,    0.018104
   1.598628,    0.018079
   2.063942,    0.018053
   2.541983,    0.018026
   3.041862,    0.017998
