alpha, CM
  -5.838204,    0.099126
  -5.548031,    0.099110
  -5.259297,    0.099094
  -4.971692,    0.099078
  -4.685300,    0.099062
  -4.399975,    0.099046
  -4.115698,    0.099030
  -3.832452,    0.099014
  -3.550225,    0.098999
  -3.269129,    0.098983
  -2.989007,    0.098967
  -2.709844,    0.098952
  -2.431622,    0.098936
  -2.154324,    0.098921
  -1.878045,    0.098906
  -1.602665,    0.098890
  -1.328153,    0.098875
  -1.054494,    0.098860
  -0.781670,    0.098845
  -0.509750,    0.098829
  -0.238656,    0.098814
   0.031657,    0.098799
   0.301205,    0.098784
   0.570004,    0.098769
   0.838013,    0.098754
   1.150246,    0.098737
   1.598628,    0.098712
   2.063942,    0.098686
   2.541983,    0.098660
   3.041862,    0.098632
