alpha, CM
  -5.838204,   -0.004497
  -5.548031,   -0.004513
  -5.259297,   -0.004529
  -4.971692,   -0.004545
  -4.685300,   -0.004561
  -4.399975,   -0.004577
  -4.115698,   -0.004593
  -3.832452,   -0.004609
  -3.550225,   -0.004624
  -3.269129,   -0.004640
  -2.989007,   -0.004656
  -2.709844,   -0.004671
  -2.431622,   -0.004687
  -2.154324,   -0.004702
  -1.878045,   -0.004717
  -1.602665,   -0.004733
  -1.328153,   -0.004748
  -1.054494,   -0.004763
  -0.781670,   -0.004778
  -0.509750,   -0.004794
  -0.238656,   -0.004809
   0.031657,   -0.004824
   0.301205,   -0.004839
   0.570004,   -0.004854
   0.838013,   -0.004869
   1.150246,   -0.004886
   1.598628,   -0.004911
   2.063942,   -0.004937
   2.541983,   -0.004963
   3.041862,   -0.004991
