alpha, CM
  -5.838204,    0.005147
  -5.548031,    0.005131
  -5.259297,    0.005115
  -4.971692,    0.005099
  -4.685300,    0.005083
  -4.399975,    0.005067
  -4.115698,    0.005051
  -3.832452,    0.005035
  -3.550225,    0.005020
  -3.269129,    0.005004
  -2.989007,    0.004988
  -2.709844,    0.004973
  -2.431622,    0.004957
  -2.154324,    0.004942
  -1.878045,    0.004926
  -1.602665,    0.004911
  -1.328153,    0.004896
  -1.054494,    0.004881
  -0.781670,    0.004865
  -0.509750,    0.004850
  -0.238656,    0.004835
   0.031657,    0.004820
   0.301205,    0.004805
   0.570004,    0.004790
   0.838013,    0.004775
   1.150246,    0.004758
   1.598628,    0.004733
   2.063942,    0.004707
   2.541983,    0.004680
   3.041862,    0.004653
