Ground Roll distance, Load Factor
 340.712291,    0.614135
 348.809754,    0.611187
 404.889520,    0.591018
 415.993120,    0.587075
 427.059640,    0.583162
 438.089237,    0.579279
 449.082065,    0.575425
 451.276233,    0.574658
 451.324031,    0.574641
 451.354658,    0.574630
 451.377694,    0.574622
 451.396890,    0.574616
 451.406588,    0.574612
 451.412659,    0.574610
 451.417158,    0.574609
 451.421253,    0.574607
 451.423201,    0.574607
 451.423533,    0.574606
 451.423850,    0.574606
 451.427021,    0.574602
 451.458732,    0.574559
 451.775779,    0.574134
 454.939778,    0.569876
 485.914326,    0.526399
 497.714568,    0.508930
 503.730366,    0.499818
 509.508219,    0.490932
 545.884707,    0.431703
 579.167373,    0.371938
 608.156500,    0.314771
 633.158657,    0.260972
 654.540120,    0.211093
 660.360024,    0.196818
 665.473512,    0.184008
 669.815764,    0.172924
 670.762005,    0.170482
 671.726438,    0.167985
 680.974367,    0.143561
 685.087546,    0.132406
 687.121662,    0.126820
 688.862778,    0.122001
 690.432834,    0.117624
 702.615847,    0.082597
 703.816329,    0.079037
 704.519119,    0.076943
 704.969759,    0.075597
 705.774489,    0.073185
 713.095436,    0.050830
 721.071557,    0.025519
 722.391806,    0.021218
 722.838633,    0.019755
 723.030811,    0.019124
 723.918857,    0.016197
 724.658424,    0.013744
 727.953346,    0.002609
 728.339738,    0.001274
 728.568266,    0.000479
 728.683433,    0.000076
 728.694091,    0.000039
 728.704732,    0.000002
 728.705070,    0.000000
 728.705161,    0.000000
 728.705166,    0.000000
