Mach, Specific Range
   0.242467,    0.172632
   0.244940,    0.179552
   0.247414,    0.187235
   0.249887,    0.190756
   0.252360,    0.194370
   0.254834,    0.198223
   0.257307,    0.200970
   0.259780,    0.203433
   0.262254,    0.206029
   0.264727,    0.208767
   0.267200,    0.211020
   0.269674,    0.213166
   0.272147,    0.215420
   0.274620,    0.217789
   0.277094,    0.220065
   0.279567,    0.221738
   0.282040,    0.223494
   0.284514,    0.225339
   0.286987,    0.227275
   0.289460,    0.229302
   0.291934,    0.230578
   0.294407,    0.231918
   0.296880,    0.233322
   0.299354,    0.234794
   0.301827,    0.236336
   0.304300,    0.237949
   0.306774,    0.238739
   0.309247,    0.239572
   0.311720,    0.240310
   0.314194,    0.240984
   0.316667,    0.241706
   0.319140,    0.242475
   0.321614,    0.243293
   0.324087,    0.243267
   0.326560,    0.243220
   0.329034,    0.243200
   0.331507,    0.243206
   0.333980,    0.243240
   0.336453,    0.243301
   0.338927,    0.243390
   0.341400,    0.243507
   0.343873,    0.243161
   0.346347,    0.242353
   0.348820,    0.241562
   0.351293,    0.240787
   0.353767,    0.240026
   0.356240,    0.239280
   0.358713,    0.238549
   0.361187,    0.237832
   0.363660,    0.237130
   0.366133,    0.236441
   0.368607,    0.235657
   0.371080,    0.234191
   0.373553,    0.232740
   0.376027,    0.231303
   0.378500,    0.229879
   0.380973,    0.228453
   0.383447,    0.227032
   0.385920,    0.225625
   0.388393,    0.224232
   0.390867,    0.222852
   0.393340,    0.221485
   0.395813,    0.220132
   0.398287,    0.218791
   0.400760,    0.217462
   0.403233,    0.215500
   0.405707,    0.213554
   0.408180,    0.211630
   0.410653,    0.209727
   0.413127,    0.207844
   0.415600,    0.205958
   0.418073,    0.204086
   0.420547,    0.202234
   0.423020,    0.200402
   0.425493,    0.198591
   0.427966,    0.196799
   0.430440,    0.195027
   0.432913,    0.193274
   0.435386,    0.191540
   0.437860,    0.189825
   0.440333,    0.188129
   0.442806,    0.186451
   0.445280,    0.184533
   0.447753,    0.182440
   0.450226,    0.180354
   0.452700,    0.178291
   0.455173,    0.176258
   0.457646,    0.174254
   0.460120,    0.172277
   0.462593,    0.170328
   0.465066,    0.168407
   0.467540,    0.166512
   0.470013,    0.164643
   0.472486,    0.162801
   0.474960,    0.160984
   0.477433,    0.159192
   0.479906,    0.157425
   0.482380,    0.155682
   0.484853,    0.153904
   0.487326,    0.152140
