Mach, Rate of Climb
   0.247587,   -0.497116
   0.249732,   -0.034469
   0.251878,    0.308207
   0.254023,    0.550000
   0.256169,    0.723985
   0.258314,    0.902613
   0.260460,    1.046789
   0.262606,    1.147409
   0.264751,    1.250664
   0.266897,    1.356581
   0.269042,    1.452675
   0.271188,    1.523076
   0.273334,    1.595248
   0.275479,    1.669212
   0.277625,    1.750814
   0.279770,    1.826154
   0.281916,    1.889115
   0.284062,    1.953514
   0.286207,    2.019365
   0.288353,    2.086685
   0.290498,    2.155489
   0.292644,    2.207005
   0.294790,    2.256355
   0.296935,    2.306746
   0.299081,    2.358191
   0.301226,    2.410703
   0.303372,    2.464292
   0.305517,    2.507861
   0.307663,    2.541716
   0.309809,    2.576226
   0.311954,    2.616227
   0.314100,    2.658586
   0.316245,    2.701716
   0.318391,    2.745627
   0.320537,    2.786253
   0.322682,    2.809245
   0.324828,    2.832594
   0.326973,    2.856306
   0.329119,    2.880386
   0.331265,    2.904841
   0.333410,    2.929676
   0.335556,    2.954898
   0.337701,    2.980512
   0.339847,    2.993594
   0.341993,    2.996964
   0.344138,    3.000310
   0.346284,    3.006845
   0.348429,    3.014932
   0.350575,    3.023063
   0.352720,    3.031242
   0.354866,    3.039473
   0.357012,    3.047758
   0.359157,    3.056100
   0.361303,    3.058700
   0.363448,    3.043874
   0.365594,    3.028702
   0.367740,    3.013185
   0.369885,    2.997324
   0.372031,    2.981119
   0.374176,    2.964571
   0.376322,    2.947681
   0.378468,    2.930450
   0.380613,    2.916035
   0.382759,    2.903371
   0.384904,    2.890426
   0.387050,    2.877201
   0.389196,    2.851800
   0.391341,    2.817411
   0.393487,    2.782406
   0.395632,    2.746783
   0.397778,    2.710542
   0.399923,    2.673682
   0.402069,    2.636201
   0.404215,    2.598099
   0.406360,    2.559374
   0.408506,    2.520025
   0.410651,    2.480051
   0.412797,    2.439452
   0.414943,    2.400903
   0.417088,    2.364087
   0.419234,    2.326693
   0.421379,    2.288720
   0.423525,    2.239629
   0.425671,    2.179796
   0.427816,    2.119068
   0.429962,    2.057442
   0.432107,    1.994916
   0.434253,    1.931488
   0.436399,    1.867154
   0.438544,    1.801911
   0.440690,    1.735758
   0.442835,    1.668691
   0.444981,    1.600708
   0.447126,    1.531806
   0.449272,    1.463872
   0.451418,    1.397221
   0.453563,    1.329683
   0.455709,    1.261254
   0.457854,    1.191931
   0.460000,    1.121713
