Ground Roll distance, Load Factor
1088.079973,    0.724876
1112.461672,    0.722024
1279.086354,    0.702687
1312.140776,    0.698883
1345.105613,    0.695100
1377.981114,    0.691338
1410.767526,    0.687596
1417.314140,    0.686850
1417.345139,    0.686847
1417.355292,    0.686845
1417.359241,    0.686845
1417.360732,    0.686845
1417.361896,    0.686844
1417.362945,    0.686844
1417.373441,    0.686839
1417.478401,    0.686792
1418.527793,    0.686319
1429.001763,    0.681569
1531.657412,    0.631943
1633.796971,    0.576409
1727.143115,    0.519373
1811.460447,    0.461814
1886.999371,    0.404566
1954.132725,    0.348448
2013.302823,    0.294247
2032.100479,    0.275985
2045.210688,    0.262927
2058.758636,    0.249143
2061.673967,    0.246138
2064.334584,    0.243383
2090.105336,    0.216098
2106.365224,    0.198295
2118.477174,    0.184722
2120.995089,    0.181866
2123.802905,    0.178667
2150.487731,    0.147473
2162.044484,    0.133498
2172.070123,    0.121132
2179.760021,    0.111488
2180.880229,    0.110071
2181.967730,    0.108693
2192.463359,    0.095251
2219.216750,    0.059759
2240.037697,    0.030760
2241.205949,    0.029092
2242.031583,    0.027910
2242.374886,    0.027418
2242.699204,    0.026953
2245.789272,    0.022499
2257.244352,    0.005603
2259.158233,    0.002707
2259.909296,    0.001561
2260.402254,    0.000806
2260.715201,    0.000325
2260.901784,    0.000037
2260.915082,    0.000016
2260.922977,    0.000004
2260.924949,    0.000001
2260.925339,    0.000000
2260.925371,    0.000000
