V (EAS), 
  92.109458,    0.000000
  92.109458,    1.000000
  96.348679,    1.094165
 100.587900,    1.192567
 104.827121,    1.295206
 109.066341,    1.402081
 113.305562,    1.513192
 117.544783,    1.628539
 121.784004,    1.748123
 126.023224,    1.871943
 130.262445,    2.000000
 161.598951,    2.000000
 161.598951,    0.000000
