V (EAS), 
 123.767960,    0.000000
 123.767960,    1.000000
 131.759778,    1.133311
 139.751597,    1.274961
 147.743415,    1.424950
 155.735234,    1.583278
 163.727052,    1.749945
 171.718871,    1.924950
 179.710690,    2.108295
 187.702508,    2.299978
 195.694327,    2.500000
 261.094125,    2.500000
 326.367656,    2.500000
 326.367656,    0.000000
 261.094125,   -1.000000
 151.584174,   -1.000000
 151.584174,   -1.000000
 151.584174,   -1.000000
 151.584174,   -1.000000
 151.584174,   -1.000000
 151.584174,   -1.000000
 151.584174,   -1.000000
 151.584174,   -1.000000
 151.584174,   -1.000000
 151.584174,   -1.000000
 151.584174,   -1.000000
 151.584174,    0.000000
