V (EAS), 
 121.976376,    0.000000
 121.976376,    1.000000
 129.852510,    1.133399
 137.728644,    1.275061
 145.604779,    1.425061
 153.480913,    1.583401
 161.357047,    1.750081
 169.233181,    1.925100
 177.109316,    2.108459
 184.985450,    2.300157
 192.861584,    2.500000
 261.093707,    2.500000
 326.367134,    2.500000
 326.367134,    0.000000
 261.093707,   -1.000000
 149.389941,   -1.000000
 149.389941,   -1.000078
 149.389941,   -1.000078
 149.389941,   -1.000078
 149.389941,   -1.000078
 149.389941,   -1.000078
 149.389941,   -1.000078
 149.389941,   -1.000078
 149.389941,   -1.000078
 149.389941,   -1.000078
 149.389941,   -1.000000
 149.389941,    0.000000
