V (EAS), 
 114.923811,    0.000000
 114.923811,    1.000000
 122.344554,    1.133311
 129.765297,    1.274961
 137.186041,    1.424950
 144.606784,    1.583278
 152.027527,    1.749945
 159.448270,    1.924950
 166.869014,    2.108295
 174.289757,    2.299978
 181.710500,    2.500000
 285.960232,    2.748984
 357.450290,    2.500000
 357.450290,   -0.050137
 285.960232,   -1.000000
 148.253859,   -1.000000
 148.253859,   -1.000000
 148.253859,   -1.000000
 148.253859,   -1.000000
 148.253859,   -1.000000
 148.253859,   -1.000000
 148.253859,   -1.000000
 148.253859,   -1.000000
 148.253859,   -1.000000
 148.253859,   -1.000000
 148.253859,   -1.000000
 148.253859,    0.000000
