CL, CM
  -0.176884,    0.462202
  -0.118378,    0.466397
  -0.059839,    0.470483
  -0.001267,    0.474463
   0.057341,    0.478327
   0.115986,    0.482069
   0.174666,    0.485701
   0.233381,    0.489221
   0.292132,    0.492627
   0.350922,    0.515946
   0.409752,    0.514034
   0.468619,    0.512000
   0.527525,    0.509841
   0.586470,    0.507556
   0.645454,    0.505139
   0.704483,    0.502566
   0.763552,    0.499845
   0.822662,    0.496949
   0.881813,    0.493908
   0.941005,    0.490718
   1.000245,    0.487352
   1.059528,    0.483826
   1.118853,    0.480138
   1.178222,    0.476283
   1.237637,    0.472242
   1.297563,    0.466060
   1.360187,    0.448518
   1.422809,    0.430974
   1.485429,    0.413426
   1.547420,    0.395805
