CL, CM
  -0.218047,    0.635387
  -0.159541,    0.639763
  -0.101002,    0.644018
  -0.042430,    0.648154
   0.016178,    0.652163
   0.074823,    0.656037
   0.133503,    0.659789
   0.192218,    0.663416
   0.250970,    0.666917
   0.309759,    0.690320
   0.368589,    0.688478
   0.427456,    0.686503
   0.486362,    0.684391
   0.545307,    0.682140
   0.604291,    0.679744
   0.663320,    0.677182
   0.722389,    0.674457
   0.781499,    0.671547
   0.840650,    0.668479
   0.899842,    0.665249
   0.959082,    0.661831
   1.018365,    0.658241
   1.077690,    0.654477
   1.137059,    0.650533
   1.196474,    0.646392
   1.256400,    0.640097
   1.319024,    0.622429
   1.381646,    0.604747
   1.444266,    0.587050
   1.506257,    0.569266
