CL, CM
  -0.123375,    0.238132
  -0.064869,    0.242082
  -0.006330,    0.245940
   0.052242,    0.249706
   0.110850,    0.253374
   0.169495,    0.256935
   0.228175,    0.260401
   0.286890,    0.263772
   0.345641,    0.267044
   0.404430,    0.290246
   0.463260,    0.288231
   0.522128,    0.286112
   0.581034,    0.283883
   0.639979,    0.281544
   0.698963,    0.279089
   0.757992,    0.276495
   0.817061,    0.273767
   0.876171,    0.270881
   0.935322,    0.267866
   0.994514,    0.264718
   1.053754,    0.261409
   1.113037,    0.257957
   1.172362,    0.254359
   1.231730,    0.250610
   1.291146,    0.246690
   1.351072,    0.240646
   1.413695,    0.223256
   1.476318,    0.205882
   1.538938,    0.188519
   1.600929,    0.171099
