CL, CM
  -0.271141,    0.863826
  -0.212635,    0.868379
  -0.154096,    0.872796
  -0.095524,    0.877078
  -0.036917,    0.881218
   0.021728,    0.885206
   0.080408,    0.889057
   0.139124,    0.892767
   0.197875,    0.896335
   0.256664,    0.919789
   0.315494,    0.917983
   0.374362,    0.916027
   0.433268,    0.913919
   0.492212,    0.911655
   0.551197,    0.909232
   0.610226,    0.906625
   0.669295,    0.903841
   0.728404,    0.900855
   0.787555,    0.897696
   0.846748,    0.894359
   0.905988,    0.890818
   0.965270,    0.887089
   1.024596,    0.883170
   1.083964,    0.879057
   1.143379,    0.874729
   1.203305,    0.868232
   1.265929,    0.850346
   1.328551,    0.832431
   1.391171,    0.814485
   1.453162,    0.796437
