CL, CM
  -0.237094,    0.719483
  -0.178587,    0.723905
  -0.120048,    0.728201
  -0.061476,    0.732372
  -0.002869,    0.736411
   0.055776,    0.740309
   0.114456,    0.744079
   0.173171,    0.747719
   0.231923,    0.751227
   0.290712,    0.774631
   0.349542,    0.772785
   0.408410,    0.770799
   0.467316,    0.768672
   0.526260,    0.766399
   0.585244,    0.763976
   0.644273,    0.761380
   0.703343,    0.758617
   0.762452,    0.755662
   0.821603,    0.752544
   0.880796,    0.749259
   0.940036,    0.745779
   0.999318,    0.742122
   1.058643,    0.738285
   1.118012,    0.734264
   1.177427,    0.730038
   1.237353,    0.723654
   1.299977,    0.705890
   1.362599,    0.688108
   1.425219,    0.670304
   1.487210,    0.652409
