CL, CM
  -0.226313,    0.672100
  -0.167807,    0.676496
  -0.109268,    0.680769
  -0.050696,    0.684920
   0.007912,    0.688941
   0.066557,    0.692826
   0.125236,    0.696585
   0.183952,    0.700218
   0.242703,    0.703722
   0.301492,    0.727125
   0.360322,    0.725281
   0.419190,    0.723302
   0.478096,    0.721183
   0.537041,    0.718922
   0.596025,    0.716514
   0.655054,    0.713937
   0.714123,    0.711196
   0.773233,    0.708266
   0.832384,    0.705176
   0.891576,    0.701922
   0.950816,    0.698477
   1.010098,    0.694858
   1.069424,    0.691062
   1.128792,    0.687085
   1.188208,    0.682906
   1.248133,    0.676572
   1.310757,    0.658863
   1.373379,    0.641137
   1.435999,    0.623393
   1.497991,    0.605561
