CL, CM
  -0.066854,    0.002481
  -0.008348,    0.006167
   0.050191,    0.009777
   0.108763,    0.013312
   0.167371,    0.016765
   0.226016,    0.020129
   0.284696,    0.023415
   0.343411,    0.026622
   0.402162,    0.029747
   0.460951,    0.052818
   0.519781,    0.050691
   0.578649,    0.048474
   0.637555,    0.046167
   0.696500,    0.043764
   0.755484,    0.041263
   0.814513,    0.038640
   0.873582,    0.035900
   0.932692,    0.033018
   0.991843,    0.030025
   1.051035,    0.026915
   1.110275,    0.023661
   1.169558,    0.020281
   1.228883,    0.016772
   1.288251,    0.013128
   1.347667,    0.009331
   1.407593,    0.003426
   1.470216,   -0.013807
   1.532839,   -0.031009
   1.595459,   -0.048182
   1.657450,   -0.065396
