CL, CM
  -0.010333,   -0.233081
   0.048173,   -0.229665
   0.106712,   -0.226308
   0.165284,   -0.223009
   0.223892,   -0.219775
   0.282537,   -0.216614
   0.341217,   -0.213515
   0.399932,   -0.210477
   0.458683,   -0.207505
   0.517472,   -0.184568
   0.576302,   -0.186815
   0.635170,   -0.189133
   0.694076,   -0.191526
   0.753021,   -0.193997
   0.812005,   -0.196550
   0.871034,   -0.199208
   0.930103,   -0.201965
   0.989213,   -0.204848
   1.048364,   -0.207825
   1.107556,   -0.210902
   1.166796,   -0.214106
   1.226079,   -0.217420
   1.285404,   -0.220846
   1.344772,   -0.224390
   1.404188,   -0.228070
   1.464114,   -0.233841
   1.526737,   -0.250924
   1.589360,   -0.267958
   1.651980,   -0.284947
   1.713971,   -0.301960
