V (EAS), 
 118.168676,    0.000000
 118.168676,    1.000000
 125.798944,    1.133311
 133.429211,    1.274961
 141.059478,    1.424950
 148.689746,    1.583278
 156.320013,    1.749945
 163.950281,    1.924950
 171.580548,    2.108295
 179.210815,    2.299978
 186.841083,    2.500000
 285.960232,    2.500000
 357.450290,    2.500000
 357.450290,    0.000000
 285.960232,   -1.000000
 147.926158,   -1.000000
 147.926158,   -1.000000
 147.926158,   -1.000000
 147.926158,   -1.000000
 147.926158,   -1.000000
 147.926158,   -1.000000
 147.926158,   -1.000000
 147.926158,   -1.000000
 147.926158,   -1.000000
 147.926158,   -1.000000
 147.926158,   -1.000000
 147.926158,    0.000000
