V (EAS), 
 117.337811,    0.000000
 117.337811,    1.000000
 124.914429,    1.133311
 132.491047,    1.274961
 140.067664,    1.424950
 147.644282,    1.583278
 155.220899,    1.749945
 162.797517,    1.924950
 170.374135,    2.108295
 177.950752,    2.299978
 185.527370,    2.500000
 285.960232,    2.660746
 357.450290,    2.500000
 357.450290,    0.000000
 285.960232,   -1.000000
 147.926158,   -1.000000
 147.926158,   -1.000000
 147.926158,   -1.000000
 147.926158,   -1.000000
 147.926158,   -1.000000
 147.926158,   -1.000000
 147.926158,   -1.000000
 147.926158,   -1.000000
 147.926158,   -1.000000
 147.926158,   -1.000000
 147.926158,   -1.000000
 147.926158,    0.000000
