eta, Cl
   0.000000,    1.167663
   0.020408,    1.176446
   0.040816,    1.192990
   0.061224,    1.208388
   0.081633,    1.222873
   0.102041,    1.236598
   0.122449,    1.249675
   0.142857,    1.262192
   0.163265,    1.274223
   0.183673,    1.285834
   0.204082,    1.297083
   0.224490,    1.308028
   0.244898,    1.318732
   0.265306,    1.329273
   0.285714,    1.339312
   0.306122,    1.346529
   0.326531,    1.348617
   0.346939,    1.349402
   0.367347,    1.349826
   0.387755,    1.349868
   0.408163,    1.349518
   0.428571,    1.348772
   0.448980,    1.347624
   0.469388,    1.346068
   0.489796,    1.344093
   0.510204,    1.341682
   0.530612,    1.338815
   0.551020,    1.335470
   0.571429,    1.331616
   0.591837,    1.327210
   0.612245,    1.322201
   0.632653,    1.316522
   0.653061,    1.310091
   0.673469,    1.302807
   0.693878,    1.294537
   0.714286,    1.285118
   0.734694,    1.274340
   0.755102,    1.261932
   0.775510,    1.247540
   0.795918,    1.230698
   0.816327,    1.210779
   0.836735,    1.186922
   0.857143,    1.157924
   0.877551,    1.122046
   0.897959,    1.076686
   0.918367,    1.017754
   0.938776,    0.938362
   0.959184,    0.825546
   0.979592,    0.648996
   1.000000,    0.000000
