CLe, Static Stability Margin
   0.148973,   -0.094603
   0.230405,   -0.089670
   0.312082,   -0.079741
   0.394001,   -0.072159
   0.476162,   -0.059548
   0.558563,   -0.046753
   0.641203,   -0.041220
   0.724083,   -0.035576
   0.807203,    0.001628
   0.891773,   -0.018529
   0.974375,   -0.069708
   1.057216,   -0.062900
   1.140298,   -0.055657
   1.223621,   -0.048091
   1.307187,   -0.040547
   1.390996,   -0.032494
   1.475049,   -0.023505
   1.559349,   -0.013950
   1.643897,   -0.003930
   1.728694,    0.006650
   1.813742,    0.017974
   1.899043,    0.029927
   1.984600,    0.039831
   2.070407,    0.042581
   2.155246,    0.036033
   2.235729,    0.021061
   2.308794,   -0.002708
   2.372041,   -0.035330
