Ground Roll distance, Vertical Forces
1112.412899, 72047.085517
1138.585653, 72047.085517
1319.269083, 72047.085517
1355.005927, 72047.085517
1390.611043, 72047.085517
1426.085087, 72047.085517
1461.428708, 72047.085517
1468.481839, 72047.085517
1468.651553, 72047.085517
1468.774173, 72047.085517
1468.834595, 72047.085517
1468.873008, 72047.085517
1468.886392, 72047.085517
1468.894192, 72047.085517
1468.895757, 72047.085517
1468.897182, 72047.085517
1468.911433, 72047.085517
1469.053934, 72047.085517
1470.478637, 72047.085517
1484.694425, 72047.085517
1587.919327, 72047.085517
1612.370109, 72047.085517
1639.761874, 72047.085517
1756.308037, 72047.085517
1865.708425, 72047.085517
1963.723437, 72047.085517
2050.659091, 72047.085517
2127.168195, 72047.085517
2193.982165, 72047.085517
2251.842216, 72047.085517
2265.695530, 72047.085517
2267.994152, 72047.085517
2270.707944, 72047.085517
2296.955318, 72047.085517
2313.064287, 72047.085517
2324.355795, 72047.085517
2328.164341, 72047.085517
2331.558531, 72047.085517
2363.392366, 72047.085517
2372.092138, 72047.085517
2379.262037, 72047.085517
2383.215383, 72047.085517
2385.467024, 72047.085517
2386.595630, 72047.085517
2387.709845, 72047.085517
2398.446090, 72047.085517
2426.054555, 72047.085517
2447.031459, 72047.085517
2451.588320, 72047.085517
2455.168299, 72047.085517
2464.385068, 72047.085517
2465.299551, 72047.085517
2465.585593, 72047.085517
2465.692242, 72047.085517
2465.697158, 72047.085517
2465.697629, 72047.085517
2465.697655, 72047.085517
