alpha body, Static Stability Margin
 -10.000000,   -0.094603
  -9.090909,   -0.089670
  -8.181818,   -0.079741
  -7.272727,   -0.072159
  -6.363636,   -0.059548
  -5.454545,   -0.046753
  -4.545455,   -0.041220
  -3.636364,   -0.035576
  -2.727273,    0.001628
  -1.818182,   -0.018529
  -0.909091,   -0.069708
  -0.000000,   -0.062900
   0.909091,   -0.055657
   1.818182,   -0.048091
   2.727273,   -0.040547
   3.636364,   -0.032494
   4.545455,   -0.023505
   5.454545,   -0.013950
   6.363636,   -0.003930
   7.272727,    0.006650
   8.181818,    0.017974
   9.090909,    0.029927
  10.000000,    0.039831
  10.909091,    0.042581
  11.818182,    0.036033
  12.727273,    0.021061
  13.636364,   -0.002708
  14.545455,   -0.035330
