eta, gamma
   0.000000,  278.550746
   0.020408,  278.646115
   0.040816,  278.841500
   0.061224,  279.020424
   0.081633,  279.136745
   0.102041,  279.164461
   0.122449,  279.087404
   0.142857,  278.895046
   0.163265,  278.580355
   0.183673,  278.138550
   0.204082,  277.566331
   0.224490,  276.861369
   0.244898,  276.021957
   0.265306,  275.046760
   0.285714,  273.934637
   0.306122,  272.684497
   0.326531,  271.295191
   0.346939,  269.765420
   0.367347,  268.093655
   0.387755,  266.278059
   0.408163,  264.316419
   0.428571,  262.206069
   0.448980,  259.943810
   0.469388,  257.525823
   0.489796,  254.947570
   0.510204,  252.201989
   0.530612,  249.282516
   0.551020,  246.183224
   0.571429,  242.895212
   0.591837,  239.407993
   0.612245,  235.709200
   0.632653,  231.784221
   0.653061,  227.615745
   0.673469,  223.183194
   0.693878,  218.462001
   0.714286,  213.422686
   0.734694,  208.029651
   0.755102,  202.239603
   0.775510,  195.999433
   0.795918,  189.243321
   0.816327,  181.888679
   0.836735,  173.830259
   0.857143,  164.931214
   0.877551,  155.008704
   0.897959,  143.808819
   0.918367,  130.958267
   0.938776,  115.858196
   0.959184,   97.402449
   0.979592,   72.939242
   1.000000,    0.000000
