eta, gamma
   0.000000,   55.710149
   0.020408,   55.729223
   0.040816,   55.768300
   0.061224,   55.804085
   0.081633,   55.827349
   0.102041,   55.832892
   0.122449,   55.817481
   0.142857,   55.779009
   0.163265,   55.716071
   0.183673,   55.627710
   0.204082,   55.513266
   0.224490,   55.372274
   0.244898,   55.204391
   0.265306,   55.009352
   0.285714,   54.786927
   0.306122,   54.536899
   0.326531,   54.259038
   0.346939,   53.953084
   0.367347,   53.618731
   0.387755,   53.255612
   0.408163,   52.863284
   0.428571,   52.441214
   0.448980,   51.988762
   0.469388,   51.505165
   0.489796,   50.989514
   0.510204,   50.440398
   0.530612,   49.856503
   0.551020,   49.236645
   0.571429,   48.579042
   0.591837,   47.881599
   0.612245,   47.141840
   0.632653,   46.356844
   0.653061,   45.523149
   0.673469,   44.636639
   0.693878,   43.692400
   0.714286,   42.684537
   0.734694,   41.605930
   0.755102,   40.447921
   0.775510,   39.199887
   0.795918,   37.848664
   0.816327,   36.377736
   0.836735,   34.766052
   0.857143,   32.986243
   0.877551,   31.001741
   0.897959,   28.761764
   0.918367,   26.191653
   0.938776,   23.171639
   0.959184,   19.480490
   0.979592,   14.587848
   1.000000,    0.000000
