Ground Roll distance, Load Factor
1187.172332,    0.677494
1218.189901,    0.674630
1438.285427,    0.654573
1481.908077,    0.650652
1525.399971,    0.646760
1568.761700,    0.642897
1611.993848,    0.639064
1620.624779,    0.638300
1621.315031,    0.638239
1621.597232,    0.638214
1621.735209,    0.638202
1621.884989,    0.638189
1621.954482,    0.638183
1621.982936,    0.638180
1621.986448,    0.638180
1621.989914,    0.638179
1622.024573,    0.638173
1622.371149,    0.638112
1625.836006,    0.637501
1660.393175,    0.631394
1871.671123,    0.593409
2076.299612,    0.555542
2274.087080,    0.517905
2464.843126,    0.480613
2648.379101,    0.443788
2824.508723,    0.407556
2993.048709,    0.372046
3153.819431,    0.337390
3306.645580,    0.303722
3451.356847,    0.271175
3587.788604,    0.239887
3715.782582,    0.209990
3835.187555,    0.181615
3945.860001,    0.154893
4047.664755,    0.129947
4140.475637,    0.106895
4224.176049,    0.085850
4298.659545,    0.066915
4363.830354,    0.050187
4419.603865,    0.035750
4465.907057,    0.023679
4502.678875,    0.014037
4529.870556,    0.006876
4547.445878,    0.002233
4555.381357,    0.000133
4555.882708,    0.000000
