Mach, Rate of Climb
   0.241058,    0.313623
   0.244280,    0.366037
   0.247501,    0.414388
   0.250723,    0.458643
   0.253945,    0.498989
   0.257166,    0.536054
   0.260388,    0.569078
   0.263610,    0.598115
   0.266831,    0.623245
   0.270053,    0.645856
   0.273274,    0.664510
   0.276496,    0.678634
   0.279718,    0.689138
   0.282939,    0.697404
   0.286161,    0.703001
   0.289383,    0.703215
   0.292604,    0.700417
   0.295826,    0.695807
   0.299048,    0.686843
   0.302269,    0.675291
   0.305491,    0.660226
   0.308712,    0.640956
   0.311934,    0.621709
   0.315156,    0.596489
   0.318377,    0.570062
   0.321599,    0.537617
   0.324821,    0.505957
   0.328042,    0.468291
   0.331264,    0.429734
   0.334486,    0.384958
   0.337707,    0.339796
   0.340929,    0.290562
   0.344150,    0.238041
   0.347372,    0.183245
   0.350594,    0.123029
   0.353815,    0.062330
   0.357037,   -0.002933
   0.360259,   -0.072244
   0.363480,   -0.142949
   0.366702,   -0.218404
   0.369924,   -0.297142
   0.373145,   -0.377570
   0.376367,   -0.463430
   0.379588,   -0.552568
   0.382810,   -0.643476
   0.386032,   -0.738004
   0.389253,   -0.838495
   0.392475,   -0.940868
   0.395697,   -1.045186
   0.398918,   -1.155316
   0.402140,   -1.269637
   0.405362,   -1.386204
   0.408583,   -1.505055
   0.411805,   -1.629811
   0.415026,   -1.759042
   0.418248,   -1.890693
   0.421470,   -2.024865
   0.424691,   -2.162568
   0.427913,   -2.307443
   0.431135,   -2.454915
   0.434356,   -2.605080
   0.437578,   -2.757889
   0.440800,   -2.914698
   0.444021,   -3.078624
   0.447243,   -3.245395
   0.450464,   -3.415018
   0.453686,   -3.587473
   0.456908,   -3.762777
   0.460129,   -3.944811
   0.463351,   -4.131784
   0.466573,   -4.321777
   0.469794,   -4.514806
   0.473016,   -4.710890
   0.476237,   -4.910083
   0.479459,   -5.114341
   0.482681,   -5.325542
   0.485902,   -5.539979
   0.489124,   -5.757688
   0.492346,   -5.978673
   0.495567,   -6.202946
   0.498789,   -6.430524
   0.502011,   -6.661893
   0.505232,   -6.901920
   0.508454,   -7.145417
   0.511675,   -7.392401
   0.514897,   -7.642885
   0.518119,   -7.896876
   0.521340,   -8.154407
   0.524562,   -8.415497
   0.527784,   -8.680163
   0.531005,   -8.951936
   0.534227,   -9.229602
   0.537449,   -9.511005
   0.540670,   -9.796162
   0.543892,  -10.085039
   0.547113,  -10.377690
   0.550335,  -10.674151
   0.553557,  -10.974440
   0.556778,  -11.278527
   0.560000,  -11.586431
