Vfailure/VsTO, VRot/VsTO
   0.500000,    1.077000
   0.500601,    1.077012
   0.501201,    1.077024
   0.501802,    1.077036
   0.502402,    1.077048
   0.503003,    1.077060
   0.503604,    1.077072
   0.504204,    1.077084
   0.504805,    1.077096
   0.505405,    1.077108
   0.506006,    1.077120
   0.506607,    1.077132
   0.507207,    1.077144
   0.507808,    1.077156
   0.508408,    1.077168
   0.509009,    1.077180
   0.509610,    1.077192
   0.510210,    1.077204
   0.510811,    1.077216
   0.511411,    1.077228
   0.512012,    1.077240
   0.512613,    1.077252
   0.513213,    1.077264
   0.513814,    1.077276
   0.514414,    1.077288
   0.515015,    1.077300
   0.515616,    1.077312
   0.516216,    1.077324
   0.516817,    1.077336
   0.517417,    1.077348
   0.518018,    1.077360
   0.518619,    1.077372
   0.519219,    1.077384
   0.519820,    1.077396
   0.520420,    1.077408
   0.521021,    1.077420
   0.521622,    1.077432
   0.522222,    1.077444
   0.522823,    1.077456
   0.523423,    1.077468
   0.524024,    1.077480
   0.524625,    1.077492
   0.525225,    1.077505
   0.525826,    1.077517
   0.526426,    1.077529
   0.527027,    1.077541
   0.527628,    1.077553
   0.528228,    1.077565
   0.528829,    1.077577
   0.529429,    1.077589
   0.530030,    1.077601
   0.530631,    1.077613
   0.531231,    1.077625
   0.531832,    1.077637
   0.532432,    1.077649
   0.533033,    1.077661
   0.533634,    1.077673
   0.534234,    1.077685
   0.534835,    1.077697
   0.535435,    1.077709
   0.536036,    1.077721
   0.536637,    1.077733
   0.537237,    1.077745
   0.537838,    1.077757
   0.538438,    1.077769
   0.539039,    1.077781
   0.539640,    1.077793
   0.540240,    1.077805
   0.540841,    1.077817
   0.541441,    1.077829
   0.542042,    1.077841
   0.542643,    1.077853
   0.543243,    1.077865
   0.543844,    1.077877
   0.544444,    1.077889
   0.545045,    1.077901
   0.545646,    1.077913
   0.546246,    1.077925
   0.546847,    1.077937
   0.547447,    1.077949
   0.548048,    1.077961
   0.548649,    1.077973
   0.549249,    1.077985
   0.549850,    1.077997
   0.550450,    1.078009
   0.551051,    1.078021
   0.551652,    1.078033
   0.552252,    1.078045
   0.552853,    1.078057
   0.553453,    1.078069
   0.554054,    1.078081
   0.554655,    1.078093
   0.555255,    1.078105
   0.555856,    1.078117
   0.556456,    1.078129
   0.557057,    1.078141
   0.557658,    1.078153
   0.558258,    1.078165
   0.558859,    1.078177
   0.559459,    1.078189
   0.560060,    1.078201
   0.560661,    1.078213
   0.561261,    1.078225
   0.561862,    1.078237
   0.562462,    1.078249
   0.563063,    1.078261
   0.563664,    1.078273
   0.564264,    1.078285
   0.564865,    1.078297
   0.565465,    1.078309
   0.566066,    1.078321
   0.566667,    1.078333
   0.567267,    1.078345
   0.567868,    1.078357
   0.568468,    1.078369
   0.569069,    1.078381
   0.569670,    1.078393
   0.570270,    1.078405
   0.570871,    1.078417
   0.571471,    1.078429
   0.572072,    1.078441
   0.572673,    1.078453
   0.573273,    1.078465
   0.573874,    1.078477
   0.574474,    1.078489
   0.575075,    1.078502
   0.575676,    1.078514
   0.576276,    1.078526
   0.576877,    1.078538
   0.577477,    1.078550
   0.578078,    1.078562
   0.578679,    1.078574
   0.579279,    1.078586
   0.579880,    1.078598
   0.580480,    1.078610
   0.581081,    1.078622
   0.581682,    1.078634
   0.582282,    1.078646
   0.582883,    1.078658
   0.583483,    1.078670
   0.584084,    1.078682
   0.584685,    1.078694
   0.585285,    1.078706
   0.585886,    1.078718
   0.586486,    1.078730
   0.587087,    1.078742
   0.587688,    1.078754
   0.588288,    1.078766
   0.588889,    1.078778
   0.589489,    1.078790
   0.590090,    1.078802
   0.590691,    1.078814
   0.591291,    1.078826
   0.591892,    1.078838
   0.592492,    1.078850
   0.593093,    1.078862
   0.593694,    1.078874
   0.594294,    1.078886
   0.594895,    1.078898
   0.595495,    1.078910
   0.596096,    1.078922
   0.596697,    1.078934
   0.597297,    1.078946
   0.597898,    1.078958
   0.598498,    1.078970
   0.599099,    1.078982
   0.599700,    1.078994
   0.600300,    1.079006
   0.600901,    1.079018
   0.601502,    1.079030
   0.602102,    1.079042
   0.602703,    1.079054
   0.603303,    1.079066
   0.603904,    1.079078
   0.604505,    1.079090
   0.605105,    1.079102
   0.605706,    1.079114
   0.606306,    1.079126
   0.606907,    1.079138
   0.607508,    1.079150
   0.608108,    1.079162
   0.608709,    1.079174
   0.609309,    1.079186
   0.609910,    1.079198
   0.610511,    1.079210
   0.611111,    1.079222
   0.611712,    1.079234
   0.612312,    1.079246
   0.612913,    1.079258
   0.613514,    1.079270
   0.614114,    1.079282
   0.614715,    1.079294
   0.615315,    1.079306
   0.615916,    1.079318
   0.616517,    1.079330
   0.617117,    1.079342
   0.617718,    1.079354
   0.618318,    1.079366
   0.618919,    1.079378
   0.619520,    1.079390
   0.620120,    1.079402
   0.620721,    1.079414
   0.621321,    1.079426
   0.621922,    1.079438
   0.622523,    1.079450
   0.623123,    1.079462
   0.623724,    1.079474
   0.624324,    1.079486
   0.624925,    1.079498
   0.625526,    1.079511
   0.626126,    1.079523
   0.626727,    1.079535
   0.627327,    1.079547
   0.627928,    1.079559
   0.628529,    1.079571
   0.629129,    1.079583
   0.629730,    1.079595
   0.630330,    1.079607
   0.630931,    1.079619
   0.631532,    1.079631
   0.632132,    1.079643
   0.632733,    1.079655
   0.633333,    1.079667
   0.633934,    1.079679
   0.634535,    1.079691
   0.635135,    1.079703
   0.635736,    1.079715
   0.636336,    1.079727
   0.636937,    1.079739
   0.637538,    1.079751
   0.638138,    1.079763
   0.638739,    1.079775
   0.639339,    1.079787
   0.639940,    1.079799
   0.640541,    1.079811
   0.641141,    1.079823
   0.641742,    1.079835
   0.642342,    1.079847
   0.642943,    1.079859
   0.643544,    1.079871
   0.644144,    1.079883
   0.644745,    1.079895
   0.645345,    1.079907
   0.645946,    1.079919
   0.646547,    1.079931
   0.647147,    1.079943
   0.647748,    1.079955
   0.648348,    1.079967
   0.648949,    1.079979
   0.649550,    1.079991
   0.650150,    1.079995
   0.650751,    1.079975
   0.651351,    1.079955
   0.651952,    1.079935
   0.652553,    1.079915
   0.653153,    1.079895
   0.653754,    1.079875
   0.654354,    1.079855
   0.654955,    1.079835
   0.655556,    1.079815
   0.656156,    1.079795
   0.656757,    1.079775
   0.657357,    1.079755
   0.657958,    1.079735
   0.658559,    1.079715
   0.659159,    1.079695
   0.659760,    1.079675
   0.660360,    1.079655
   0.660961,    1.079635
   0.661562,    1.079615
   0.662162,    1.079595
   0.662763,    1.079575
   0.663363,    1.079555
   0.663964,    1.079535
   0.664565,    1.079515
   0.665165,    1.079494
   0.665766,    1.079474
   0.666366,    1.079454
   0.666967,    1.079434
   0.667568,    1.079414
   0.668168,    1.079394
   0.668769,    1.079374
   0.669369,    1.079354
   0.669970,    1.079334
   0.670571,    1.079314
   0.671171,    1.079294
   0.671772,    1.079274
   0.672372,    1.079254
   0.672973,    1.079234
   0.673574,    1.079214
   0.674174,    1.079194
   0.674775,    1.079174
   0.675375,    1.079154
   0.675976,    1.079134
   0.676577,    1.079114
   0.677177,    1.079094
   0.677778,    1.079074
   0.678378,    1.079054
   0.678979,    1.079034
   0.679580,    1.079014
   0.680180,    1.078994
   0.680781,    1.078974
   0.681381,    1.078954
   0.681982,    1.078934
   0.682583,    1.078914
   0.683183,    1.078894
   0.683784,    1.078874
   0.684384,    1.078854
   0.684985,    1.078834
   0.685586,    1.078814
   0.686186,    1.078794
   0.686787,    1.078774
   0.687387,    1.078754
   0.687988,    1.078734
   0.688589,    1.078714
   0.689189,    1.078694
   0.689790,    1.078674
   0.690390,    1.078654
   0.690991,    1.078634
   0.691592,    1.078614
   0.692192,    1.078594
   0.692793,    1.078574
   0.693393,    1.078554
   0.693994,    1.078534
   0.694595,    1.078514
   0.695195,    1.078493
   0.695796,    1.078473
   0.696396,    1.078453
   0.696997,    1.078433
   0.697598,    1.078413
   0.698198,    1.078393
   0.698799,    1.078373
   0.699399,    1.078353
   0.700000,    1.078333
   0.700601,    1.078313
   0.701201,    1.078293
   0.701802,    1.078273
   0.702402,    1.078253
   0.703003,    1.078233
   0.703604,    1.078213
   0.704204,    1.078193
   0.704805,    1.078173
   0.705405,    1.078153
   0.706006,    1.078133
   0.706607,    1.078113
   0.707207,    1.078093
   0.707808,    1.078073
   0.708408,    1.078053
   0.709009,    1.078033
   0.709610,    1.078013
   0.710210,    1.077993
   0.710811,    1.077973
   0.711411,    1.077953
   0.712012,    1.077933
   0.712613,    1.077913
   0.713213,    1.077893
   0.713814,    1.077873
   0.714414,    1.077853
   0.715015,    1.077833
   0.715616,    1.077813
   0.716216,    1.077793
   0.716817,    1.077773
   0.717417,    1.077753
   0.718018,    1.077733
   0.718619,    1.077713
   0.719219,    1.077693
   0.719820,    1.077673
   0.720420,    1.077653
   0.721021,    1.077633
   0.721622,    1.077613
   0.722222,    1.077593
   0.722823,    1.077573
   0.723423,    1.077553
   0.724024,    1.077533
   0.724625,    1.077513
   0.725225,    1.077492
   0.725826,    1.077472
   0.726426,    1.077452
   0.727027,    1.077432
   0.727628,    1.077412
   0.728228,    1.077392
   0.728829,    1.077372
   0.729429,    1.077352
   0.730030,    1.077332
   0.730631,    1.077312
   0.731231,    1.077292
   0.731832,    1.077272
   0.732432,    1.077252
   0.733033,    1.077232
   0.733634,    1.077212
   0.734234,    1.077192
   0.734835,    1.077172
   0.735435,    1.077152
   0.736036,    1.077132
   0.736637,    1.077112
   0.737237,    1.077092
   0.737838,    1.077072
   0.738438,    1.077052
   0.739039,    1.077032
   0.739640,    1.077012
   0.740240,    1.076992
   0.740841,    1.076972
   0.741441,    1.076952
   0.742042,    1.076932
   0.742643,    1.076912
   0.743243,    1.076892
   0.743844,    1.076872
   0.744444,    1.076852
   0.745045,    1.076832
   0.745646,    1.076812
   0.746246,    1.076792
   0.746847,    1.076772
   0.747447,    1.076752
