CD, CL
   0.012595,   -0.266314
   0.010270,   -0.212882
   0.008397,   -0.159449
   0.006957,   -0.106017
   0.005974,   -0.052585
   0.005424,    0.000848
   0.005329,    0.054280
   0.005664,    0.107712
   0.006449,    0.161145
   0.007667,    0.214577
   0.009333,    0.268009
   0.011432,    0.321442
   0.013978,    0.374874
   0.016960,    0.428306
   0.020386,    0.481738
   0.024257,    0.535171
   0.028573,    0.588603
   0.033338,    0.642035
   0.038537,    0.695468
   0.044186,    0.748900
   0.050269,    0.802332
   0.056798,    0.855765
   0.063764,    0.909197
   0.071173,    0.962629
   0.079022,    1.016062
   0.087309,    1.069494
   0.096046,    1.122926
   0.105219,    1.176358
   0.114845,    1.229791
   0.124905,    1.283211
