eta, gamma
   0.000000,   96.793948
   0.020408,   96.783406
   0.040816,   96.747340
   0.061224,   96.679925
   0.081633,   96.578662
   0.102041,   96.442033
   0.122449,   96.269030
   0.142857,   96.058945
   0.163265,   95.811259
   0.183673,   95.525567
   0.204082,   95.201526
   0.224490,   94.838816
   0.244898,   94.437106
   0.265306,   93.996032
   0.285714,   93.515172
   0.306122,   92.994027
   0.326531,   92.432003
   0.346939,   91.828395
   0.367347,   91.182367
   0.387755,   90.492937
   0.408163,   89.758956
   0.428571,   88.979087
   0.448980,   88.151785
   0.469388,   87.275265
   0.489796,   86.347478
   0.510204,   85.365517
   0.530612,   84.326596
   0.551020,   83.228126
   0.571429,   82.066534
   0.591837,   80.837722
   0.612245,   79.536972
   0.632653,   78.158849
   0.653061,   76.697061
   0.673469,   75.144301
   0.693878,   73.492036
   0.714286,   71.730237
   0.734694,   69.847035
   0.755102,   67.828253
   0.775510,   65.656781
   0.795918,   63.311693
   0.816327,   60.766992
   0.836735,   57.989730
   0.857143,   54.937095
   0.877551,   51.551613
   0.897959,   47.752715
   0.918367,   43.420499
   0.938776,   38.360310
   0.959184,   32.209427
   0.979592,   24.094447
   1.000000,    0.000000
