eta, gamma
   0.000000,  212.451158
   0.020408,  212.428020
   0.040816,  212.348859
   0.061224,  212.200892
   0.081633,  211.978630
   0.102041,  211.678746
   0.122449,  211.299026
   0.142857,  210.837915
   0.163265,  210.294274
   0.183673,  209.667214
   0.204082,  208.955983
   0.224490,  208.159876
   0.244898,  207.278171
   0.265306,  206.310066
   0.285714,  205.254636
   0.306122,  204.110784
   0.326531,  202.877209
   0.346939,  201.552362
   0.367347,  200.134408
   0.387755,  198.621191
   0.408163,  197.010190
   0.428571,  195.298472
   0.448980,  193.482642
   0.469388,  191.558786
   0.489796,  189.522404
   0.510204,  187.367117
   0.530612,  185.086809
   0.551020,  182.675798
   0.571429,  180.126244
   0.591837,  177.429147
   0.612245,  174.574156
   0.632653,  171.549340
   0.653061,  168.340891
   0.673469,  164.932769
   0.693878,  161.306244
   0.714286,  157.439305
   0.734694,  153.305901
   0.755102,  148.874917
   0.775510,  144.108795
   0.795918,  138.961607
   0.816327,  133.376291
   0.836735,  127.280534
   0.857143,  120.580364
   0.877551,  113.149635
   0.897959,  104.811506
   0.918367,   95.302811
   0.938776,   84.196300
   0.959184,   70.695847
   0.979592,   52.884434
   1.000000,    0.000000
