eta, gamma
   0.000000,   67.879645
   0.020408,   67.872253
   0.040816,   67.846960
   0.061224,   67.799684
   0.081633,   67.728669
   0.102041,   67.632854
   0.122449,   67.511531
   0.142857,   67.364203
   0.163265,   67.190506
   0.183673,   66.990156
   0.204082,   66.762912
   0.224490,   66.508551
   0.244898,   66.226840
   0.265306,   65.917523
   0.285714,   65.580306
   0.306122,   65.214837
   0.326531,   64.820701
   0.346939,   64.397403
   0.367347,   63.944357
   0.387755,   63.460873
   0.408163,   62.946147
   0.428571,   62.399241
   0.448980,   61.819071
   0.469388,   61.204385
   0.489796,   60.553747
   0.510204,   59.865117
   0.530612,   59.136543
   0.551020,   58.366208
   0.571429,   57.551607
   0.591837,   56.689865
   0.612245,   55.777676
   0.632653,   54.811226
   0.653061,   53.786104
   0.673469,   52.697185
   0.693878,   51.538484
   0.714286,   50.302970
   0.734694,   48.982318
   0.755102,   47.566588
   0.775510,   46.043778
   0.795918,   44.399215
   0.816327,   42.614667
   0.836735,   40.667029
   0.857143,   38.526278
   0.877551,   36.152107
   0.897959,   33.488017
   0.918367,   30.449921
   0.938776,   26.901312
   0.959184,   22.587822
   0.979592,   16.896950
   1.000000,    0.000000
