alpha body, CL
  -4.000000,   -0.064663
  -3.517241,   -0.002353
  -3.034483,    0.059033
  -2.551724,    0.120395
  -2.068966,    0.181731
  -1.586207,    0.243044
  -1.103448,    0.304334
  -0.620690,    0.365601
  -0.137931,    0.426847
   0.344828,    0.488069
   0.827586,    0.549269
   1.310345,    0.610449
   1.793103,    0.671609
   2.275862,    0.732749
   2.758621,    0.793867
   3.241379,    0.854966
   3.724138,    0.916046
   4.206897,    0.977109
   4.689655,    1.038153
   5.172414,    1.099179
   5.655172,    1.160224
   6.137931,    1.221476
   6.620690,    1.282892
   7.103448,    1.344333
   7.586207,    1.405807
   8.068966,    1.461559
