alpha body, CL
  -4.000000,   -0.388871
  -3.517241,   -0.326562
  -3.034483,   -0.265175
  -2.551724,   -0.203813
  -2.068966,   -0.142477
  -1.586207,   -0.081165
  -1.103448,   -0.019875
  -0.620690,    0.041393
  -0.137931,    0.102639
   0.344828,    0.163860
   0.827586,    0.225061
   1.310345,    0.286241
   1.793103,    0.347401
   2.275862,    0.408541
   2.758621,    0.469659
   3.241379,    0.530758
   3.724138,    0.591838
   4.206897,    0.652900
   4.689655,    0.713945
   5.172414,    0.774970
   5.655172,    0.836015
   6.137931,    0.897268
   6.620690,    0.958684
   7.103448,    1.020125
   7.586207,    1.081598
   8.068966,    1.137350
