alpha body, CL
  -4.000000,   -0.271796
  -3.517241,   -0.209487
  -3.034483,   -0.148100
  -2.551724,   -0.086738
  -2.068966,   -0.025402
  -1.586207,    0.035910
  -1.103448,    0.097200
  -0.620690,    0.158468
  -0.137931,    0.219714
   0.344828,    0.280935
   0.827586,    0.342136
   1.310345,    0.403316
   1.793103,    0.464475
   2.275862,    0.525615
   2.758621,    0.586734
   3.241379,    0.647833
   3.724138,    0.708913
   4.206897,    0.769975
   4.689655,    0.831020
   5.172414,    0.892045
   5.655172,    0.953090
   6.137931,    1.014342
   6.620690,    1.075759
   7.103448,    1.137200
   7.586207,    1.198673
   8.068966,    1.254425
