alpha body, CL
  -4.000000,   -0.204223
  -3.517241,   -0.141914
  -3.034483,   -0.080527
  -2.551724,   -0.019165
  -2.068966,    0.042171
  -1.586207,    0.103483
  -1.103448,    0.164773
  -0.620690,    0.226041
  -0.137931,    0.287287
   0.344828,    0.348508
   0.827586,    0.409709
   1.310345,    0.470889
   1.793103,    0.532049
   2.275862,    0.593188
   2.758621,    0.654307
   3.241379,    0.715406
   3.724138,    0.776486
   4.206897,    0.837548
   4.689655,    0.898593
   5.172414,    0.959618
   5.655172,    1.020663
   6.137931,    1.081915
   6.620690,    1.143332
   7.103448,    1.204773
   7.586207,    1.266246
   8.068966,    1.321998
