alpha body, CL
  -4.000000,   -0.134443
  -3.517241,   -0.072133
  -3.034483,   -0.010747
  -2.551724,    0.050615
  -2.068966,    0.111951
  -1.586207,    0.173263
  -1.103448,    0.234553
  -0.620690,    0.295821
  -0.137931,    0.357067
   0.344828,    0.418288
   0.827586,    0.479489
   1.310345,    0.540669
   1.793103,    0.601829
   2.275862,    0.662969
   2.758621,    0.724087
   3.241379,    0.785186
   3.724138,    0.846266
   4.206897,    0.907329
   4.689655,    0.968373
   5.172414,    1.029398
   5.655172,    1.090444
   6.137931,    1.151696
   6.620690,    1.213112
   7.103448,    1.274553
   7.586207,    1.336026
   8.068966,    1.391778
