alpha body, CL
  -4.000000,   -0.346466
  -3.517241,   -0.284157
  -3.034483,   -0.222770
  -2.551724,   -0.161408
  -2.068966,   -0.100073
  -1.586207,   -0.038760
  -1.103448,    0.022530
  -0.620690,    0.083798
  -0.137931,    0.145044
   0.344828,    0.206265
   0.827586,    0.267466
   1.310345,    0.328645
   1.793103,    0.389805
   2.275862,    0.450945
   2.758621,    0.512063
   3.241379,    0.573162
   3.724138,    0.634243
   4.206897,    0.695305
   4.689655,    0.756350
   5.172414,    0.817375
   5.655172,    0.878420
   6.137931,    0.939672
   6.620690,    1.001089
   7.103448,    1.062529
   7.586207,    1.124003
   8.068966,    1.179755
