alpha body, CL
  -4.000000,   -0.334713
  -3.517241,   -0.272404
  -3.034483,   -0.211017
  -2.551724,   -0.149655
  -2.068966,   -0.088319
  -1.586207,   -0.027007
  -1.103448,    0.034283
  -0.620690,    0.095551
  -0.137931,    0.156797
   0.344828,    0.218018
   0.827586,    0.279219
   1.310345,    0.340399
   1.793103,    0.401559
   2.275862,    0.462698
   2.758621,    0.523817
   3.241379,    0.584916
   3.724138,    0.645996
   4.206897,    0.707058
   4.689655,    0.768103
   5.172414,    0.829128
   5.655172,    0.890173
   6.137931,    0.951425
   6.620690,    1.012842
   7.103448,    1.074283
   7.586207,    1.135756
   8.068966,    1.191508
