alpha body, CL
  -4.000000,   -0.326806
  -3.517241,   -0.264496
  -3.034483,   -0.203110
  -2.551724,   -0.141748
  -2.068966,   -0.080412
  -1.586207,   -0.019100
  -1.103448,    0.042190
  -0.620690,    0.103458
  -0.137931,    0.164704
   0.344828,    0.225925
   0.827586,    0.287126
   1.310345,    0.348306
   1.793103,    0.409466
   2.275862,    0.470606
   2.758621,    0.531724
   3.241379,    0.592823
   3.724138,    0.653903
   4.206897,    0.714966
   4.689655,    0.776010
   5.172414,    0.837035
   5.655172,    0.898081
   6.137931,    0.959333
   6.620690,    1.020749
   7.103448,    1.082190
   7.586207,    1.143663
   8.068966,    1.199416
